Processes,Size,Latency
2,2,0.36
2,4,0.36
2,8,0.35
2,16,0.36
2,32,0.45
2,64,0.50
2,128,0.77
2,256,0.82
2,512,0.91
2,1024,1.05
2,2048,1.33
2,4096,2.01
2,8192,3.35
2,16384,3.74
2,32768,5.86
2,65536,7.03
2,131072,10.24
2,262144,15.67
2,524288,28.65
2,1048576,62.07
4,2,0.30
4,4,0.35
4,8,0.34
4,16,0.30
4,32,0.55
4,64,0.56
4,128,1.05
4,256,1.08
4,512,1.28
4,1024,1.56
4,2048,2.36
4,4096,3.63
4,8192,5.91
4,16384,8.84
4,32768,13.75
4,65536,22.43
4,131072,37.73
4,262144,78.22
4,524288,162.10
4,1048576,247.54
6,2,0.62
6,4,0.62
6,8,0.61
6,16,0.62
6,32,0.68
6,64,0.73
6,128,1.58
6,256,1.65
6,512,1.94
6,1024,2.32
6,2048,3.34
6,4096,5.06
6,8192,7.73
6,16384,10.76
6,32768,18.36
6,65536,34.47
6,131072,70.23
6,262144,145.12
6,524288,276.38
6,1048576,438.58
8,2,1.16
8,4,1.13
8,8,1.14
8,16,1.12
8,32,1.25
8,64,1.35
8,128,2.68
8,256,2.61
8,512,2.74
8,1024,3.49
8,2048,4.62
8,4096,6.66
8,8192,10.02
8,16384,13.24
8,32768,20.31
8,65536,45.00
8,131072,91.17
8,262144,182.06
8,524288,351.53
8,1048576,622.81
10,2,1.40
10,4,1.41
10,8,1.42
10,16,1.48
10,32,1.81
10,64,1.51
10,128,2.98
10,256,3.06
10,512,3.43
10,1024,4.62
10,2048,5.77
10,4096,7.92
10,8192,12.03
10,16384,15.70
10,32768,26.82
10,65536,54.35
10,131072,111.89
10,262144,222.23
10,524288,423.00
10,1048576,703.84
12,2,1.48
12,4,1.42
12,8,1.49
12,16,1.55
12,32,1.72
12,64,1.58
12,128,3.22
12,256,3.32
12,512,3.57
12,1024,5.08
12,2048,6.53
12,4096,8.96
12,8192,13.64
12,16384,17.67
12,32768,31.46
12,65536,63.20
12,131072,126.44
12,262144,259.36
12,524288,528.52
12,1048576,902.62
14,2,1.50
14,4,1.50
14,8,1.46
14,16,1.64
14,32,1.71
14,64,1.60
14,128,3.62
14,256,3.78
14,512,4.10
14,1024,5.69
14,2048,7.23
14,4096,10.03
14,8192,15.22
14,16384,19.64
14,32768,36.14
14,65536,75.33
14,131072,151.68
14,262144,308.57
14,524288,574.30
14,1048576,1035.70
16,2,1.76
16,4,1.78
16,8,1.78
16,16,1.95
16,32,1.98
16,64,1.89
16,128,4.26
16,256,4.41
16,512,4.74
16,1024,6.57
16,2048,8.17
16,4096,11.29
16,8192,17.28
16,16384,23.14
16,32768,39.85
16,65536,82.45
16,131072,165.65
16,262144,330.78
16,524288,681.06
16,1048576,1181.49
18,2,2.09
18,4,2.07
18,8,2.25
18,16,2.18
18,32,2.27
18,64,2.24
18,128,4.90
18,256,4.99
18,512,5.27
18,1024,7.43
18,2048,9.16
18,4096,13.03
18,8192,19.11
18,16384,26.61
18,32768,47.25
18,65536,96.89
18,131072,192.17
18,262144,355.06
18,524288,774.31
18,1048576,1269.37
20,2,2.20
20,4,2.17
20,8,2.38
20,16,2.16
20,32,2.37
20,64,2.35
20,128,5.03
20,256,5.27
20,512,5.55
20,1024,7.87
20,2048,9.98
20,4096,13.79
20,8192,20.82
20,16384,28.44
20,32768,49.90
20,65536,104.31
20,131072,217.27
20,262144,404.49
20,524288,844.77
20,1048576,1488.60
22,2,2.24
22,4,2.27
22,8,2.32
22,16,2.27
22,32,2.52
22,64,2.35
22,128,5.39
22,256,5.64
22,512,5.87
22,1024,8.55
22,2048,10.46
22,4096,14.71
22,8192,22.49
22,16384,30.34
22,32768,55.87
22,65536,112.31
22,131072,231.14
22,262144,467.62
22,524288,906.83
22,1048576,1695.41
24,2,2.45
24,4,2.44
24,8,2.50
24,16,2.47
24,32,2.70
24,64,2.53
24,128,5.87
24,256,6.04
24,512,6.40
24,1024,9.28
24,2048,11.49
24,4096,15.92
24,8192,24.26
24,16384,33.05
24,32768,59.46
24,65536,122.94
24,131072,237.15
