Processes,Size,Latency
2,2,0.36
2,4,0.37
2,8,0.36
2,16,0.37
2,32,0.57
2,64,0.49
2,128,0.78
2,256,0.81
2,512,0.85
2,1024,1.04
2,2048,1.42
2,4096,2.04
2,8192,3.29
2,16384,3.59
2,32768,6.01
2,65536,7.28
2,131072,10.50
2,262144,15.97
2,524288,28.83
2,1048576,60.69
4,2,0.35
4,4,0.36
4,8,0.34
4,16,0.33
4,32,0.61
4,64,0.56
4,128,1.04
4,256,1.10
4,512,1.29
4,1024,1.59
4,2048,2.40
4,4096,3.77
4,8192,5.83
4,16384,9.11
4,32768,13.45
4,65536,22.74
4,131072,36.65
4,262144,72.59
4,524288,157.18
4,1048576,327.50
6,2,0.68
6,4,0.69
6,8,0.69
6,16,0.67
6,32,0.90
6,64,0.88
6,128,1.75
6,256,1.84
6,512,2.11
6,1024,2.60
6,2048,3.59
6,4096,5.51
6,8192,8.32
6,16384,13.00
6,32768,20.61
6,65536,40.02
6,131072,79.95
6,262144,147.67
6,524288,319.74
6,1048576,454.59
8,2,0.99
8,4,1.01
8,8,1.03
8,16,1.00
8,32,1.41
8,64,1.43
8,128,2.77
8,256,2.77
8,512,2.98
8,1024,3.67
8,2048,5.00
8,4096,7.04
8,8192,10.91
8,16384,13.97
8,32768,23.69
8,65536,45.74
8,131072,89.01
8,262144,161.62
8,524288,328.50
8,1048576,543.83
10,2,1.39
10,4,1.36
10,8,1.35
10,16,1.33
10,32,1.71
10,64,1.70
10,128,2.38
10,256,2.50
10,512,2.71
10,1024,3.26
10,2048,4.39
10,4096,6.30
10,8192,9.53
10,16384,19.50
10,32768,32.98
10,65536,59.18
10,131072,120.88
10,262144,253.77
10,524288,465.31
10,1048576,829.78
12,2,1.61
12,4,1.60
12,8,1.57
12,16,1.82
12,32,2.01
12,64,1.84
12,128,3.02
12,256,3.14
12,512,3.44
12,1024,4.31
12,2048,5.58
12,4096,7.91
12,8192,12.24
12,16384,24.15
12,32768,38.15
12,65536,76.85
12,131072,137.23
12,262144,278.09
12,524288,607.32
12,1048576,959.39
14,2,1.35
14,4,1.32
14,8,1.35
14,16,1.72
14,32,1.92
14,64,1.72
14,128,3.18
14,256,3.26
14,512,3.60
14,1024,4.73
14,2048,6.16
14,4096,8.96
14,8192,13.98
14,16384,25.77
14,32768,42.69
14,65536,78.64
14,131072,162.07
14,262144,302.20
14,524288,609.09
14,1048576,1065.33
16,2,1.53
16,4,1.56
16,8,1.53
16,16,1.96
16,32,2.27
16,64,2.23
16,128,3.94
16,256,4.02
16,512,4.50
16,1024,5.58
16,2048,7.12
16,4096,10.06
16,8192,16.09
16,16384,26.53
16,32768,42.21
16,65536,83.02
16,131072,154.73
16,262144,292.37
16,524288,544.27
16,1048576,1084.51
18,2,2.18
18,4,2.15
18,8,2.47
18,16,2.19
18,32,2.87
18,64,2.57
18,128,3.89
18,256,4.03
18,512,4.37
18,1024,5.42
18,2048,6.90
18,4096,9.90
18,8192,14.91
18,16384,30.94
18,32768,50.21
18,65536,91.12
18,131072,166.55
18,262144,348.76
18,524288,672.23
18,1048576,1218.54
20,2,2.23
20,4,2.12
20,8,2.16
20,16,2.46
20,32,2.92
20,64,2.66
20,128,4.28
20,256,4.45
20,512,4.97
20,1024,6.03
20,2048,7.75
20,4096,11.04
20,8192,17.20
20,16384,33.62
20,32768,58.29
20,65536,103.22
20,131072,191.95
20,262144,394.71
20,524288,725.01
20,1048576,1329.90
22,2,2.21
22,4,2.21
22,8,2.44
22,16,2.21
22,32,3.11
22,64,2.92
22,128,4.79
22,256,4.99
22,512,5.61
22,1024,6.95
22,2048,8.79
22,4096,12.46
22,8192,19.23
22,16384,34.82
22,32768,60.01
22,65536,104.49
22,131072,193.16
22,262144,396.96
22,524288,792.25
22,1048576,1494.47
24,2,2.30
24,4,2.65
24,8,2.46
24,16,2.34
24,32,3.38
24,64,3.06
24,128,5.13
24,256,5.36
24,512,6.02
24,1024,7.59
24,2048,9.66
24,4096,13.43
24,8192,21.00
24,16384,35.51
24,32768,59.67
24,65536,111.77
24,131072,194.02
24,262144,393.29
24,524288,785.51
24,1048576,1452.56
26,2,2.43
26,4,2.44
26,8,2.47
26,16,2.45
26,32,3.47
26,64,3.18
26,128,4.80
26,256,4.91
26,512,5.50
26,1024,6.74
26,2048,8.81
26,4096,12.32
26,8192,19.19
26,16384,38.76
26,32768,67.25
26,65536,123.91
26,131072,220.38
26,262144,461.61
26,524288,877.44
26,1048576,1658.56
28,2,2.47
28,4,2.80
28,8,2.51
28,16,2.48
28,32,3.55
28,64,3.22
28,128,5.01
28,256,5.15
28,512,5.82
28,1024,7.21
28,2048,9.43
28,4096,13.41
28,8192,21.07
28,16384,42.43
28,32768,67.60
28,65536,125.02
28,131072,251.14
28,262144,473.24
28,524288,890.72
28,1048576,1732.72
30,2,2.30
30,4,2.52
30,8,2.34
30,16,2.32
30,32,3.36
30,64,3.08
30,128,5.14
30,256,5.35
30,512,5.99
30,1024,7.60
30,2048,9.88
30,4096,14.40
30,8192,22.81
30,16384,44.13
30,32768,74.26
30,65536,132.23
30,131072,245.42
30,262144,476.67
