Processes,Size,Latency
2,2,0.21
2,4,0.21
2,8,0.21
2,16,0.20
2,32,0.23
2,64,0.25
2,128,0.31
2,256,0.34
2,512,0.37
2,1024,0.43
2,2048,0.56
2,4096,0.84
2,8192,1.39
2,16384,3.09
2,32768,5.26
2,65536,6.89
2,131072,9.75
2,262144,15.00
2,524288,28.16
2,1048576,60.53
4,2,0.32
4,4,0.32
4,8,0.35
4,16,0.33
4,32,0.38
4,64,0.37
4,128,0.53
4,256,0.55
4,512,0.64
4,1024,0.83
4,2048,1.12
4,4096,1.73
4,8192,2.72
4,16384,6.67
4,32768,11.85
4,65536,16.43
4,131072,27.99
4,262144,47.51
4,524288,89.57
4,1048576,185.12
6,2,0.52
6,4,0.52
6,8,0.53
6,16,0.49
6,32,0.58
6,64,0.59
6,128,0.82
6,256,0.88
6,512,0.94
6,1024,1.22
6,2048,1.65
6,4096,2.60
6,8192,3.83
6,16384,9.86
6,32768,14.59
6,65536,24.43
6,131072,42.77
6,262144,81.36
6,524288,152.10
6,1048576,305.17
8,2,0.70
8,4,0.71
8,8,0.70
8,16,0.69
8,32,0.81
8,64,0.83
8,128,1.18
8,256,1.19
8,512,1.33
8,1024,1.57
8,2048,2.28
8,4096,3.30
8,8192,4.76
8,16384,11.72
8,32768,17.84
8,65536,28.98
8,131072,50.95
8,262144,100.16
8,524288,192.35
8,1048576,374.06
10,2,0.93
10,4,0.89
10,8,0.90
10,16,0.88
10,32,1.03
10,64,1.04
10,128,1.39
10,256,1.41
10,512,1.46
10,1024,1.81
10,2048,2.42
10,4096,3.68
10,8192,5.50
10,16384,13.90
10,32768,20.38
10,65536,34.74
10,131072,59.46
10,262144,115.52
10,524288,214.38
10,1048576,421.04
12,2,0.94
12,4,0.92
12,8,0.95
12,16,0.94
12,32,1.11
12,64,1.04
12,128,1.41
12,256,1.70
12,512,1.65
12,1024,1.95
12,2048,2.60
12,4096,4.02
12,8192,6.18
12,16384,14.56
12,32768,22.61
12,65536,37.40
12,131072,64.89
12,262144,125.42
12,524288,237.33
12,1048576,488.58
14,2,0.94
14,4,1.01
14,8,0.94
14,16,0.93
14,32,1.15
14,64,1.30
14,128,1.69
14,256,1.62
14,512,1.76
14,1024,2.16
14,2048,2.84
14,4096,4.65
14,8192,6.91
14,16384,16.62
14,32768,26.21
14,65536,44.34
14,131072,80.20
14,262144,153.87
14,524288,298.73
14,1048576,580.00
16,2,1.20
16,4,1.24
16,8,1.24
16,16,1.16
16,32,1.45
16,64,1.46
16,128,2.18
16,256,2.24
16,512,2.45
16,1024,2.89
16,2048,3.73
16,4096,5.52
16,8192,8.30
16,16384,19.06
16,32768,30.50
16,65536,51.66
16,131072,94.48
16,262144,186.97
16,524288,371.61
16,1048576,670.79
18,2,2.24
18,4,2.21
18,8,2.20
18,16,2.34
18,32,2.41
18,64,2.48
18,128,3.08
18,256,3.14
18,512,3.29
18,1024,3.79
18,2048,4.68
18,4096,6.52
18,8192,9.67
18,16384,21.76
18,32768,34.30
18,65536,61.98
18,131072,111.77
18,262144,205.44
18,524288,409.45
18,1048576,783.57
20,2,2.11
20,4,2.11
20,8,2.13
20,16,2.11
20,32,2.43
20,64,2.48
20,128,3.06
20,256,3.17
20,512,3.37
20,1024,3.95
20,2048,4.83
20,4096,6.86
20,8192,10.20
20,16384,23.53
20,32768,37.47
20,65536,67.05
20,131072,118.82
20,262144,232.93
20,524288,453.37
20,1048576,865.68
22,2,2.10
22,4,2.09
22,8,2.37
22,16,2.23
22,32,2.43
22,64,2.39
22,128,3.10
22,256,3.26
22,512,3.39
22,1024,4.01
22,2048,4.93
22,4096,7.16
22,8192,10.66
22,16384,24.01
22,32768,38.69
22,65536,67.99
22,131072,121.31
22,262144,245.13
22,524288,452.17
22,1048576,849.11
24,2,2.07
24,4,2.04
24,8,2.10
24,16,2.05
24,32,2.42
24,64,2.37
24,128,3.29
24,256,3.36
24,512,3.52
24,1024,4.20
24,2048,5.21
24,4096,7.50
24,8192,11.13
24,16384,25.32
24,32768,38.87
24,65536,68.89
24,131072,125.76
24,262144,238.99
24,524288,469.26
24,1048576,904.98
26,2,1.76
26,4,1.79
26,8,1.88
26,16,1.80
26,32,2.06
26,64,2.06
26,128,2.97
26,256,3.02
26,512,3.19
26,1024,3.92
26,2048,5.07
26,4096,7.40
26,8192,11.57
26,16384,25.22
26,32768,39.25
26,65536,68.51
26,131072,126.46
26,262144,247.28
26,524288,477.12
26,1048576,895.70
28,2,1.69
28,4,2.12
28,8,1.71
28,16,1.73
28,32,2.07
28,64,2.12
28,128,3.02
28,256,3.10
28,512,3.26
28,1024,4.04
28,2048,5.20
28,4096,7.75
28,8192,11.79
28,16384,25.52
28,32768,39.58
28,65536,69.67
28,131072,125.90
28,262144,250.71
28,524288,467.77
28,1048576,900.73
30,2,1.84
30,4,2.13
30,8,1.81
30,16,1.86
30,32,2.14
30,64,2.19
30,128,3.15
30,256,3.27
30,512,3.50
30,1024,4.21
30,2048,5.64
30,4096,8.10
30,8192,12.36
30,16384,25.63
30,32768,40.26
30,65536,72.62
30,131072,132.62
30,262144,256.01
30,524288,490.53
30,1048576,946.06
32,2,2.43
32,4,2.43
32,8,2.59
32,16,2.37
32,32,2.84
32,64,2.90
32,128,3.93
32,256,4.13
32,512,4.42
32,1024,5.13
32,2048,6.56
32,4096,9.26
32,8192,13.65
32,16384,27.37
32,32768,44.41
32,65536,74.66
32,131072,146.23
32,262144,284.30
32,524288,546.75
32,1048576,1029.85
34,2,3.90
34,4,3.92
34,8,3.89
34,16,3.95
34,32,4.27
34,64,4.14
34,128,5.48
34,256,5.62
34,512,5.90
34,1024,6.63
34,2048,8.09
34,4096,11.03
34,8192,15.33
34,16384,29.11
34,32768,46.10
34,65536,79.42
34,131072,157.71
34,262144,309.72
34,524288,594.07
34,1048576,1129.18
36,2,3.67
36,4,3.99
36,8,3.78
36,16,3.86
36,32,4.09
36,64,4.10
36,128,5.24
36,256,5.43
36,512,5.71
36,1024,6.50
36,2048,8.15
36,4096,10.84
36,8192,15.51
36,16384,30.11
36,32768,47.97
36,65536,85.45
36,131072,175.49
36,262144,335.87
36,524288,652.20
36,1048576,1254.25
38,2,3.97
38,4,3.57
38,8,3.59
38,16,3.54
38,32,3.94
38,64,3.82
38,128,5.00
38,256,5.23
38,512,5.48
38,1024,6.26
38,2048,7.79
38,4096,10.90
38,8192,16.06
38,16384,31.32
38,32768,49.95
38,65536,88.38
38,131072,196.03
38,262144,383.81
38,524288,750.59
38,1048576,1416.33
40,2,3.53
40,4,3.61
40,8,3.58
40,16,3.51
40,32,3.90
40,64,3.74
40,128,4.88
40,256,5.05
40,512,5.27
40,1024,6.27
40,2048,7.88
40,4096,11.12
40,8192,16.79
40,16384,33.06
40,32768,53.30
40,65536,95.51
40,131072,217.73
40,262144,423.81
40,524288,850.62
40,1048576,1610.16
42,2,3.31
42,4,3.28
42,8,3.24
42,16,3.24
42,32,3.64
42,64,3.79
42,128,4.68
42,256,4.87
42,512,5.22
42,1024,6.17
42,2048,7.84
42,4096,11.01
42,8192,16.84
42,16384,33.92
42,32768,55.56
42,65536,100.11
42,131072,224.44
42,262144,434.68
42,524288,859.41
42,1048576,1664.71
44,2,3.30
44,4,3.21
44,8,3.22
44,16,3.21
44,32,3.67
44,64,3.66
44,128,4.65
44,256,4.87
44,512,5.25
44,1024,6.20
44,2048,7.86
44,4096,11.38
44,8192,17.13
44,16384,34.69
44,32768,56.25
44,65536,102.39
44,131072,225.67
44,262144,440.49
44,524288,862.80
44,1048576,1662.60
46,2,3.79
46,4,3.31
46,8,3.31
46,16,3.24
46,32,3.75
46,64,3.70
46,128,4.94
46,256,5.15
46,512,5.48
46,1024,6.66
46,2048,8.20
46,4096,11.49
46,8192,17.81
46,16384,35.30
46,32768,56.59
46,65536,104.38
46,131072,227.34
46,262144,443.10
46,524288,875.73
46,1048576,1677.80
48,2,3.88
48,4,3.43
48,8,3.41
48,16,3.39
48,32,3.71
48,64,3.80
48,128,5.01
48,256,5.29
48,512,5.63
48,1024,6.68
48,2048,8.49
48,4096,12.14
48,8192,18.78
48,16384,36.28
48,32768,58.83
48,65536,106.27
48,131072,232.44
48,262144,460.98
48,524288,910.28
48,1048576,1743.62
