Processes,Size,Latency
2,2,0.59
2,4,0.60
2,8,0.59
2,16,0.59
2,32,0.71
2,64,0.70
2,128,0.86
2,256,0.91
2,512,1.26
2,1024,1.03
2,2048,1.62
2,4096,2.29
2,8192,3.28
2,16384,4.57
2,32768,5.25
2,65536,7.06
2,131072,14.27
2,262144,33.05
2,524288,60.85
2,1048576,139.08
4,2,0.93
4,4,0.94
4,8,0.91
4,16,0.91
4,32,1.01
4,64,1.02
4,128,1.28
4,256,1.39
4,512,1.50
4,1024,1.80
4,2048,2.43
4,4096,3.40
4,8192,5.63
4,16384,12.67
4,32768,16.17
4,65536,24.60
4,131072,44.40
4,262144,85.86
4,524288,174.45
4,1048576,354.29
6,2,1.37
6,4,1.32
6,8,1.33
6,16,1.36
6,32,1.60
6,64,1.50
6,128,2.05
6,256,2.01
6,512,2.24
6,1024,2.64
6,2048,3.60
6,4096,5.31
6,8192,7.91
6,16384,14.22
6,32768,21.08
6,65536,38.17
6,131072,74.43
6,262144,145.65
6,524288,267.99
6,1048576,539.66
8,2,1.81
8,4,1.55
8,8,1.56
8,16,1.61
8,32,1.99
8,64,1.80
8,128,2.46
8,256,2.90
8,512,2.98
8,1024,3.36
8,2048,4.03
8,4096,5.71
8,8192,9.73
8,16384,17.63
8,32768,31.34
8,65536,51.95
8,131072,86.40
8,262144,174.86
8,524288,353.48
8,1048576,655.36
10,2,2.25
10,4,1.93
10,8,2.11
10,16,2.13
10,32,2.56
10,64,2.43
10,128,3.30
10,256,3.32
10,512,3.77
10,1024,3.89
10,2048,5.32
10,4096,7.25
10,8192,10.98
10,16384,21.19
10,32768,33.13
10,65536,58.55
10,131072,101.06
10,262144,182.97
10,524288,385.32
10,1048576,773.21
12,2,2.33
12,4,2.07
12,8,2.09
12,16,2.08
12,32,2.67
12,64,2.71
12,128,3.45
12,256,3.44
12,512,3.73
12,1024,4.02
12,2048,5.74
12,4096,7.33
12,8192,11.11
12,16384,21.21
12,32768,33.79
12,65536,58.46
12,131072,109.90
12,262144,217.65
12,524288,423.67
12,1048576,932.21
14,2,2.13
14,4,2.10
14,8,2.18
14,16,1.90
14,32,2.63
14,64,2.59
14,128,3.53
14,256,3.60
14,512,3.83
14,1024,4.19
14,2048,5.92
14,4096,7.79
14,8192,12.48
14,16384,22.54
14,32768,35.85
14,65536,67.98
14,131072,125.79
14,262144,240.19
14,524288,454.66
14,1048576,879.37
16,2,2.02
16,4,2.16
16,8,2.05
16,16,2.10
16,32,2.96
16,64,2.97
16,128,3.63
16,256,3.53
16,512,3.93
16,1024,4.56
16,2048,6.13
16,4096,8.56
16,8192,13.37
16,16384,24.56
16,32768,40.41
16,65536,73.12
16,131072,133.52
16,262144,245.57
16,524288,489.00
16,1048576,953.32
18,2,2.90
18,4,2.83
18,8,2.89
18,16,2.86
18,32,3.53
18,64,3.68
18,128,4.13
18,256,4.46
18,512,4.82
18,1024,5.02
18,2048,7.25
18,4096,9.32
18,8192,14.24
18,16384,26.15
18,32768,44.02
18,65536,74.14
18,131072,134.81
18,262144,265.70
18,524288,541.42
18,1048576,1060.72
20,2,2.73
20,4,2.68
20,8,2.65
20,16,2.86
20,32,3.41
20,64,3.51
20,128,4.08
20,256,4.07
20,512,4.70
20,1024,5.14
20,2048,6.99
20,4096,9.48
20,8192,14.60
20,16384,27.96
20,32768,43.29
20,65536,75.50
20,131072,142.80
20,262144,277.08
20,524288,517.87
20,1048576,1029.53
22,2,2.69
22,4,2.67
22,8,2.64
22,16,2.68
22,32,3.45
22,64,3.53
22,128,4.32
22,256,4.31
22,512,4.67
22,1024,5.23
22,2048,7.15
22,4096,9.31
22,8192,15.77
22,16384,28.31
22,32768,45.25
22,65536,81.36
22,131072,155.23
22,262144,312.08
22,524288,590.05
22,1048576,1180.05
24,2,2.61
24,4,2.76
24,8,2.66
24,16,2.62
24,32,3.76
24,64,3.39
24,128,4.21
24,256,4.30
24,512,4.74
24,1024,5.42
24,2048,7.30
24,4096,10.01
24,8192,15.69
24,16384,29.64
24,32768,49.66
24,65536,84.30
24,131072,160.16
24,262144,329.94
24,524288,659.60
24,1048576,1070.55
26,2,2.48
26,4,2.67
26,8,2.66
26,16,2.64
26,32,3.45
26,64,3.47
26,128,4.33
26,256,4.47
26,512,4.96
26,1024,5.46
26,2048,7.28
26,4096,9.86
26,8192,16.21
26,16384,31.84
26,32768,48.40
26,65536,88.61
26,131072,160.37
26,262144,335.57
26,524288,645.76
26,1048576,1227.64
28,2,2.69
28,4,2.79
28,8,2.55
28,16,2.74
28,32,3.60
28,64,3.57
28,128,4.64
28,256,4.48
28,512,5.14
28,1024,5.65
28,2048,7.75
28,4096,10.25
28,8192,17.04
28,16384,30.60
28,32768,51.65
28,65536,90.29
28,131072,170.62
28,262144,334.92
28,524288,674.02
28,1048576,1161.87
30,2,2.75
30,4,2.67
30,8,2.78
30,16,2.82
30,32,3.85
30,64,3.50
30,128,4.89
30,256,4.73
30,512,5.32
30,1024,5.72
30,2048,7.88
30,4096,10.69
30,8192,17.05
30,16384,30.79
30,32768,53.19
30,65536,93.28
30,131072,176.30
30,262144,327.65
30,524288,753.64
30,1048576,1259.32
32,2,2.74
32,4,2.48
32,8,2.45
32,16,2.54
32,32,3.38
32,64,3.25
32,128,4.63
32,256,4.72
32,512,5.57
32,1024,5.72
32,2048,7.92
32,4096,11.04
32,8192,17.02
32,16384,33.32
32,32768,53.10
32,65536,96.82
32,131072,173.43
32,262144,347.95
32,524288,731.66
32,1048576,1318.57
34,2,3.09
34,4,3.62
34,8,3.50
34,16,3.29
34,32,4.27
34,64,3.86
34,128,5.71
34,256,5.74
34,512,6.17
34,1024,6.51
34,2048,8.98
34,4096,12.19
34,8192,18.76
34,16384,34.19
34,32768,53.76
34,65536,98.33
34,131072,177.24
34,262144,343.86
34,524288,654.40
34,1048576,1272.11
36,2,3.27
36,4,3.25
36,8,3.28
36,16,3.37
36,32,4.01
36,64,3.87
36,128,5.22
36,256,5.81
36,512,6.08
36,1024,6.61
36,2048,8.89
36,4096,11.99
36,8192,17.97
36,16384,34.60
36,32768,54.78
36,65536,101.40
36,131072,187.24
36,262144,353.45
36,524288,750.44
36,1048576,1442.41
38,2,3.21
38,4,3.18
38,8,3.20
38,16,3.23
38,32,3.98
38,64,3.88
38,128,5.64
38,256,5.48
38,512,6.13
38,1024,6.52
38,2048,9.32
38,4096,12.22
38,8192,19.03
38,16384,34.83
38,32768,57.66
38,65536,100.43
38,131072,198.52
38,262144,367.86
38,524288,699.51
38,1048576,1306.83
40,2,3.17
40,4,3.35
40,8,3.31
40,16,3.37
40,32,3.77
40,64,3.66
40,128,5.42
40,256,5.42
40,512,5.85
40,1024,6.18
40,2048,8.89
40,4096,12.06
40,8192,18.58
40,16384,37.11
40,32768,58.82
40,65536,102.47
40,131072,200.28
40,262144,363.71
40,524288,703.48
40,1048576,1328.00
42,2,3.15
42,4,3.15
42,8,3.18
42,16,3.27
42,32,3.77
42,64,3.86
42,128,5.44
42,256,5.66
42,512,5.94
42,1024,6.91
42,2048,8.83
42,4096,11.91
42,8192,18.59
42,16384,36.70
42,32768,59.22
42,65536,104.50
42,131072,199.18
42,262144,371.33
42,524288,735.62
42,1048576,1403.65
44,2,3.06
44,4,3.21
