Processes,Size,Latency
2,2,0.14
2,4,0.14
2,8,0.12
2,16,0.14
2,32,0.15
2,64,0.16
2,128,0.19
2,256,0.19
2,512,0.20
2,1024,0.23
2,2048,0.30
2,4096,0.37
2,8192,0.56
2,16384,0.91
2,32768,1.62
2,65536,3.02
2,131072,6.01
2,262144,29.94
2,524288,57.99
2,1048576,110.81
4,2,0.21
4,4,0.22
4,8,0.22
4,16,0.22
4,32,0.22
4,64,0.25
4,128,0.30
4,256,0.32
4,512,0.35
4,1024,0.41
4,2048,0.51
4,4096,0.68
4,8192,1.05
4,16384,1.84
4,32768,3.18
4,65536,5.65
4,131072,20.80
4,262144,70.03
4,524288,132.61
4,1048576,262.73
6,2,0.37
6,4,0.41
6,8,0.37
6,16,0.38
6,32,0.40
6,64,0.42
6,128,0.47
6,256,0.54
6,512,0.55
6,1024,0.68
6,2048,0.86
6,4096,1.28
6,8192,1.96
6,16384,3.33
6,32768,6.12
6,65536,11.12
6,131072,35.78
6,262144,105.46
6,524288,211.50
6,1048576,445.74
8,2,0.53
8,4,0.52
8,8,0.49
8,16,0.58
8,32,0.54
8,64,0.56
8,128,0.65
8,256,0.71
8,512,0.86
8,1024,0.92
8,2048,1.24
8,4096,1.66
8,8192,2.75
8,16384,5.00
8,32768,9.48
8,65536,20.93
8,131072,53.96
8,262144,148.64
8,524288,296.72
8,1048576,631.23
10,2,0.40
10,4,0.42
10,8,0.43
10,16,0.55
10,32,0.47
10,64,0.53
10,128,0.60
10,256,0.61
10,512,0.67
10,1024,0.86
10,2048,1.19
10,4096,1.65
10,8192,2.77
10,16384,5.06
10,32768,9.62
10,65536,20.73
10,131072,66.33
10,262144,181.54
10,524288,361.41
10,1048576,798.82
12,2,0.43
12,4,0.42
12,8,0.43
12,16,0.43
12,32,0.49
12,64,0.53
12,128,0.58
12,256,0.61
12,512,0.74
12,1024,0.91
12,2048,1.25
12,4096,1.82
12,8192,3.09
12,16384,5.88
12,32768,11.01
12,65536,27.76
12,131072,70.33
12,262144,197.98
12,524288,399.86
12,1048576,943.20
14,2,0.45
14,4,0.44
14,8,0.45
14,16,0.55
14,32,0.52
14,64,0.51
14,128,0.61
14,256,0.68
14,512,0.80
14,1024,0.99
14,2048,1.43
14,4096,2.06
14,8192,3.59
14,16384,6.38
14,32768,12.89
14,65536,29.55
14,131072,79.67
14,262144,229.00
14,524288,458.66
14,1048576,1131.16
16,2,0.58
16,4,0.63
16,8,0.84
16,16,0.65
16,32,0.70
16,64,0.69
16,128,0.75
16,256,0.82
16,512,1.01
16,1024,1.24
16,2048,1.79
16,4096,2.70
16,8192,4.46
16,16384,8.07
16,32768,16.67
16,65536,35.57
16,131072,91.19
16,262144,261.69
16,524288,540.19
16,1048576,1376.35
18,2,0.50
18,4,0.61
18,8,0.77
18,16,0.60
18,32,0.71
18,64,0.68
18,128,0.77
18,256,0.82
18,512,0.92
18,1024,1.16
18,2048,1.71
18,4096,2.79
18,8192,4.34
18,16384,8.18
18,32768,16.27
18,65536,34.51
18,131072,102.19
18,262144,279.69
18,524288,592.23
18,1048576,1435.57
20,2,0.55
20,4,0.51
20,8,0.67
20,16,0.72
20,32,0.58
20,64,0.64
20,128,0.72
20,256,0.78
20,512,0.90
20,1024,1.14
20,2048,1.69
20,4096,2.84
20,8192,4.55
20,16384,8.85
20,32768,17.49
20,65536,40.31
20,131072,100.45
20,262144,270.50
20,524288,576.25
20,1048576,1362.10
22,2,0.55
22,4,0.60
22,8,0.52
22,16,0.56
22,32,0.59
22,64,0.64
22,128,0.70
22,256,0.75
22,512,0.90
22,1024,1.13
22,2048,1.71
22,4096,2.57
22,8192,4.58
22,16384,8.16
22,32768,16.73
22,65536,39.72
22,131072,100.49
22,262144,270.73
22,524288,567.87
22,1048576,1369.45
24,2,0.51
24,4,0.61
24,8,0.61
24,16,0.57
24,32,0.60
24,64,0.64
24,128,0.71
24,256,0.79
24,512,0.94
24,1024,1.20
24,2048,1.80
24,4096,2.67
24,8192,4.69
24,16384,8.68
24,32768,19.14
24,65536,40.99
24,131072,100.99
24,262144,273.67
24,524288,599.54
24,1048576,1395.26
26,2,0.49
26,4,0.61
26,8,0.67
26,16,0.53
26,32,0.60
26,64,0.73
26,128,0.70
26,256,0.76
26,512,0.91
26,1024,1.22
26,2048,1.78
26,4096,2.67
26,8192,4.65
26,16384,8.60
26,32768,18.72
26,65536,40.74
26,131072,105.29
26,262144,285.46
26,524288,618.37
