Processes,Size,Latency
46,2,1.86
46,4,1.55
46,8,1.57
46,16,1.68
46,32,1.81
46,64,2.23
46,128,2.30
46,256,2.54
46,512,3.22
46,1024,4.47
46,2048,6.21
46,4096,10.23
46,8192,18.24
46,16384,33.22
46,32768,65.06
46,65536,130.93
46,131072,280.62
46,262144,875.88
46,524288,1826.30
46,1048576,7337.83
48,2,1.83
48,4,1.84
48,8,1.63
48,16,1.76
48,32,1.84
48,64,2.28
48,128,2.30
48,256,2.63
48,512,3.28
48,1024,4.59
48,2048,6.53
48,4096,10.98
48,8192,19.26
48,16384,35.79
48,32768,68.33
48,65536,137.47
48,131072,296.63
48,262144,922.15
48,524288,1912.26
48,1048576,7534.88
