Processes,Size,Latency
2,2,0.21
2,4,0.21
2,8,0.21
2,16,0.20
2,32,0.24
2,64,0.26
2,128,0.31
2,256,0.35
2,512,0.38
2,1024,0.42
2,2048,0.56
2,4096,0.85
2,8192,1.35
2,16384,3.10
2,32768,5.17
2,65536,7.02
2,131072,9.87
2,262144,15.54
2,524288,28.54
2,1048576,60.68
4,2,0.22
4,4,0.21
4,8,0.21
4,16,0.22
4,32,0.29
4,64,0.28
4,128,0.44
4,256,0.49
4,512,0.52
4,1024,0.75
4,2048,1.05
4,4096,1.68
4,8192,2.61
4,16384,5.55
4,32768,8.73
4,65536,14.60
4,131072,25.98
4,262144,53.60
4,524288,107.28
4,1048576,206.44
6,2,0.36
6,4,0.39
6,8,0.35
6,16,0.37
6,32,0.45
6,64,0.45
6,128,0.65
6,256,0.71
6,512,0.76
6,1024,1.06
6,2048,1.44
6,4096,2.25
6,8192,3.53
6,16384,7.79
6,32768,12.64
6,65536,23.38
6,131072,43.31
6,262144,86.55
6,524288,171.76
6,1048576,333.04
8,2,0.62
8,4,0.56
8,8,0.60
8,16,0.60
8,32,0.67
8,64,0.74
8,128,1.12
8,256,1.14
8,512,1.20
8,1024,1.50
8,2048,1.99
8,4096,3.04
8,8192,4.53
8,16384,10.76
8,32768,16.35
8,65536,28.54
8,131072,52.78
8,262144,103.02
8,524288,190.04
8,1048576,358.92
10,2,0.92
10,4,0.97
10,8,0.93
10,16,0.92
10,32,1.06
10,64,1.07
10,128,1.38
10,256,1.38
10,512,1.51
10,1024,1.82
10,2048,2.36
10,4096,3.60
10,8192,5.51
10,16384,11.94
10,32768,19.19
10,65536,33.09
10,131072,60.09
10,262144,119.47
10,524288,226.99
10,1048576,451.55
12,2,0.94
12,4,0.90
12,8,0.95
12,16,0.88
12,32,1.02
12,64,1.03
12,128,1.40
12,256,1.47
12,512,1.56
12,1024,1.91
12,2048,2.52
12,4096,3.88
12,8192,6.07
12,16384,13.49
12,32768,21.27
12,65536,37.55
12,131072,67.70
12,262144,121.95
12,524288,244.32
12,1048576,483.36
14,2,0.86
14,4,0.88
14,8,0.83
14,16,0.85
14,32,1.03
14,64,1.00
14,128,1.57
14,256,1.65
14,512,1.68
14,1024,2.15
14,2048,2.81
14,4096,4.42
14,8192,6.76
14,16384,16.12
14,32768,25.02
14,65536,43.26
14,131072,81.16
14,262144,166.15
14,524288,295.00
14,1048576,556.22
16,2,1.20
16,4,1.21
16,8,1.18
16,16,1.19
16,32,1.43
16,64,1.54
16,128,2.14
16,256,2.22
16,512,2.38
16,1024,2.86
16,2048,3.59
16,4096,5.44
16,8192,8.06
16,16384,19.97
16,32768,31.61
16,65536,56.38
16,131072,103.77
16,262144,215.47
16,524288,405.35
16,1048576,712.52
18,2,2.30
18,4,2.34
18,8,2.32
18,16,2.30
18,32,2.56
18,64,2.47
18,128,3.14
18,256,3.12
18,512,3.31
18,1024,3.91
18,2048,4.73
18,4096,6.63
18,8192,9.53
18,16384,23.05
18,32768,35.19
18,65536,61.08
18,131072,111.86
18,262144,215.01
18,524288,426.20
18,1048576,811.70
20,2,2.46
20,4,2.41
20,8,2.92
20,16,2.43
20,32,2.75
20,64,2.68
20,128,3.45
20,256,3.54
20,512,3.76
20,1024,4.21
20,2048,5.12
20,4096,7.19
20,8192,10.52
20,16384,24.44
20,32768,38.78
20,65536,68.27
20,131072,115.66
20,262144,243.97
20,524288,448.52
20,1048576,827.96
22,2,2.36
22,4,2.30
22,8,2.48
22,16,2.33
22,32,2.65
22,64,2.64
22,128,3.35
22,256,3.46
22,512,3.66
22,1024,4.42
22,2048,5.40
22,4096,7.54
22,8192,11.24
22,16384,25.38
22,32768,38.81
22,65536,65.47
22,131072,119.20
22,262144,237.54
22,524288,468.35
22,1048576,860.08
24,2,2.34
24,4,2.65
24,8,2.30
24,16,2.32
24,32,2.72
24,64,2.70
24,128,3.56
24,256,3.60
24,512,3.89
24,1024,4.68
24,2048,5.77
24,4096,8.29
24,8192,11.92
24,16384,27.03
24,32768,41.06
24,65536,69.14
24,131072,129.52
24,262144,256.10
24,524288,475.76
24,1048576,897.19
26,2,2.20
26,4,2.89
26,8,2.21
26,16,2.11
26,32,2.59
26,64,2.61
26,128,3.25
26,256,3.42
26,512,3.69
26,1024,4.44
26,2048,5.54
26,4096,8.11
26,8192,12.14
26,16384,27.54
26,32768,43.17
26,65536,72.15
26,131072,133.15
26,262144,263.02
26,524288,508.24
26,1048576,946.86
28,2,2.10
28,4,2.47
28,8,2.14
28,16,2.07
28,32,2.60
28,64,2.58
28,128,3.31
28,256,3.52
28,512,3.79
28,1024,4.65
28,2048,5.90
28,4096,8.64
28,8192,13.12
28,16384,28.86
28,32768,45.09
28,65536,76.29
28,131072,141.38
28,262144,273.28
28,524288,532.18
28,1048576,956.42
30,2,2.49
30,4,2.16
30,8,2.17
30,16,2.17
30,32,2.62
30,64,2.67
30,128,3.47
30,256,3.60
30,512,3.88
30,1024,4.74
30,2048,6.14
30,4096,8.97
30,8192,13.57
30,16384,29.93
30,32768,46.45
30,65536,77.16
30,131072,144.37
30,262144,272.72
30,524288,534.43
30,1048576,1041.65
32,2,2.55
32,4,2.76
32,8,2.55
32,16,2.56
32,32,2.88
32,64,2.94
32,128,4.01
32,256,4.16
32,512,4.44
32,1024,5.28
32,2048,6.74
32,4096,9.83
32,8192,14.53
32,16384,29.91
32,32768,44.95
32,65536,76.46
32,131072,139.21
32,262144,258.21
32,524288,494.26
32,1048576,911.16
34,2,5.43
34,4,4.56
34,8,4.63
34,16,4.63
34,32,5.00
34,64,4.94
34,128,5.93
34,256,6.16
34,512,6.51
34,1024,7.48
34,2048,8.75
34,4096,11.88
34,8192,16.84
34,16384,33.95
34,32768,48.59
34,65536,80.56
34,131072,142.31
34,262144,267.64
34,524288,508.24
34,1048576,973.80
36,2,5.13
36,4,4.66
36,8,4.67
36,16,4.72
36,32,4.96
36,64,5.06
36,128,6.23
36,256,6.43
36,512,6.81
36,1024,7.80
36,2048,9.29
36,4096,12.66
36,8192,17.88
36,16384,35.07
36,32768,50.76
36,65536,83.98
36,131072,148.31
36,262144,279.33
36,524288,516.79
36,1048576,1018.83
38,2,5.19
38,4,4.35
38,8,4.35
38,16,4.32
38,32,4.59
38,64,4.66
38,128,5.66
38,256,6.00
38,512,6.28
38,1024,7.21
38,2048,8.91
38,4096,12.13
38,8192,17.54
38,16384,37.06
38,32768,53.08
38,65536,86.08
38,131072,152.29
38,262144,306.54
38,524288,584.36
38,1048576,1080.74
40,2,4.98
40,4,4.37
40,8,4.32
40,16,4.36
40,32,4.77
40,64,4.82
40,128,5.90
40,256,6.18
40,512,6.51
40,1024,7.67
40,2048,9.41
40,4096,13.08
40,8192,18.83
40,16384,38.25
40,32768,55.31
40,65536,89.25
40,131072,160.71
40,262144,313.78
40,524288,577.82
40,1048576,1132.70
42,2,4.98
42,4,4.20
42,8,4.23
42,16,4.25
42,32,4.56
42,64,4.65
42,128,5.99
42,256,6.56
42,512,6.73
42,1024,7.88
42,2048,9.65
42,4096,13.30
42,8192,19.42
42,16384,38.80
42,32768,56.02
42,65536,90.83
42,131072,160.94
42,262144,296.37
42,524288,560.20
42,1048576,1147.55
44,2,4.42
44,4,3.63
44,8,3.57
44,16,3.56
44,32,4.16
44,64,4.22
44,128,5.54
44,256,5.87
44,512,6.28
44,1024,7.49
44,2048,9.26
44,4096,13.33
44,8192,19.60
44,16384,39.60
44,32768,57.45
44,65536,92.70
44,131072,164.01
44,262144,304.61
44,524288,588.28
44,1048576,1150.77
46,2,4.45
46,4,3.86
46,8,3.82
46,16,3.79
46,32,4.30
46,64,4.29
46,128,5.37
46,256,5.78
46,512,6.18
46,1024,7.18
46,2048,9.19
46,4096,13.41
46,8192,20.27
46,16384,39.28
46,32768,56.82
46,65536,89.17
46,131072,152.79
46,262144,280.57
46,524288,539.02
46,1048576,1066.09
48,2,4.29
48,4,4.11
48,8,4.16
48,16,4.17
48,32,4.49
48,64,4.61
48,128,5.60
48,256,5.96
48,512,6.59
48,1024,7.39
48,2048,9.38
48,4096,13.75
48,8192,20.22
48,16384,39.95
48,32768,57.02
48,65536,90.28
48,131072,157.95
48,262144,291.00
48,524288,554.09
48,1048576,1105.45
