Processes,Size,Latency
2,2,0.39
2,4,0.38
2,8,0.37
2,16,0.36
2,32,0.48
2,64,0.52
2,128,0.77
2,256,0.79
2,512,0.90
2,1024,1.05
2,2048,1.40
2,4096,2.02
2,8192,3.31
2,16384,3.46
2,32768,6.04
2,65536,7.48
2,131072,10.41
2,262144,16.26
2,524288,28.95
2,1048576,62.21
4,2,0.58
4,4,0.57
4,8,0.58
4,16,0.57
4,32,0.77
4,64,0.68
4,128,1.10
4,256,1.16
4,512,1.38
4,1024,1.60
4,2048,2.44
4,4096,3.59
4,8192,5.41
4,16384,9.33
4,32768,15.45
4,65536,20.64
4,131072,34.28
4,262144,64.05
4,524288,125.96
4,1048576,249.82
6,2,0.80
6,4,0.83
6,8,0.79
6,16,0.81
6,32,0.95
6,64,0.98
6,128,1.53
6,256,1.57
6,512,1.73
6,1024,2.09
6,2048,3.09
6,4096,4.24
6,8192,6.43
6,16384,12.21
6,32768,16.99
6,65536,29.91
6,131072,53.98
6,262144,101.82
6,524288,197.71
6,1048576,421.86
8,2,0.92
8,4,0.96
8,8,0.95
8,16,0.92
8,32,1.23
8,64,1.26
8,128,1.85
8,256,1.85
8,512,2.11
8,1024,2.38
8,2048,3.44
8,4096,4.76
8,8192,7.30
8,16384,13.81
8,32768,20.45
8,65536,35.56
8,131072,68.97
8,262144,127.53
8,524288,272.68
8,1048576,485.19
10,2,1.24
10,4,1.22
10,8,1.20
10,16,1.19
10,32,1.48
10,64,1.66
10,128,2.07
10,256,2.11
10,512,2.29
10,1024,2.80
10,2048,3.88
10,4096,5.45
10,8192,8.21
10,16384,15.58
10,32768,22.73
10,65536,42.33
10,131072,75.48
10,262144,139.12
10,524288,282.06
10,1048576,548.29
12,2,1.15
12,4,1.16
12,8,1.14
12,16,1.17
12,32,1.53
12,64,1.39
12,128,2.05
12,256,2.06
12,512,2.38
12,1024,2.86
12,2048,4.07
12,4096,5.56
12,8192,8.46
12,16384,16.77
12,32768,26.15
12,65536,43.26
12,131072,80.34
12,262144,149.92
12,524288,303.94
12,1048576,529.96
14,2,1.20
14,4,1.16
14,8,1.11
14,16,1.20
14,32,1.58
14,64,1.44
14,128,2.19
14,256,2.29
