Processes,Size,Latency
2,2,1.00
2,4,1.03
2,8,1.01
2,16,1.00
2,32,1.03
2,64,1.26
2,128,1.10
2,256,1.42
2,512,1.46
2,1024,1.43
2,2048,1.86
2,4096,2.24
2,8192,2.96
2,16384,4.18
2,32768,5.64
2,65536,8.58
2,131072,15.17
2,262144,36.44
2,524288,63.52
2,1048576,127.71
4,2,1.29
4,4,1.29
4,8,1.29
4,16,1.35
4,32,1.57
4,64,1.65
4,128,1.70
4,256,1.89
4,512,2.18
4,1024,0.92
4,2048,1.25
4,4096,1.84
4,8192,6.53
4,16384,9.95
4,32768,7.25
4,65536,13.47
4,131072,27.60
4,262144,67.06
4,524288,117.65
4,1048576,246.07
6,2,1.26
6,4,1.27
6,8,1.26
6,16,1.38
6,32,1.37
6,64,1.57
6,128,1.62
6,256,1.86
6,512,2.04
6,1024,0.77
6,2048,1.05
6,4096,1.52
6,8192,6.31
6,16384,9.85
6,32768,6.98
6,65536,14.49
6,131072,28.80
6,262144,96.33
6,524288,183.17
6,1048576,363.90
8,2,1.56
8,4,1.58
8,8,1.57
8,16,1.95
8,32,1.64
8,64,2.03
8,128,2.09
8,256,2.31
8,512,2.47
8,1024,2.94
8,2048,3.88
8,4096,5.74
8,8192,8.79
8,16384,13.21
8,32768,24.16
8,65536,44.05
8,131072,72.26
8,262144,162.05
8,524288,320.65
8,1048576,685.34
10,2,1.39
10,4,1.41
10,8,1.61
10,16,1.65
10,32,1.50
10,64,1.67
10,128,1.87
10,256,2.23
10,512,2.47
10,1024,2.81
10,2048,3.75
10,4096,5.21
10,8192,8.00
10,16384,12.70
10,32768,23.58
10,65536,42.98
10,131072,95.73
10,262144,209.67
10,524288,426.54
10,1048576,1014.31
12,2,1.47
12,4,1.45
12,8,1.46
12,16,1.66
12,32,1.59
12,64,1.94
12,128,2.03
12,256,2.32
12,512,2.58
12,1024,3.12
12,2048,3.97
12,4096,5.66
12,8192,9.35
12,16384,14.74
12,32768,26.97
12,65536,53.87
12,131072,97.96
12,262144,233.03
12,524288,476.32
12,1048576,1217.49
14,2,1.38
14,4,1.37
14,8,1.53
14,16,1.56
14,32,1.48
14,64,1.80
14,128,2.03
14,256,2.16
14,512,2.42
14,1024,2.93
14,2048,4.20
14,4096,5.85
14,8192,9.50
14,16384,15.55
14,32768,27.72
14,65536,54.64
14,131072,104.93
14,262144,261.31
14,524288,558.98
14,1048576,1422.69
16,2,1.57
16,4,1.58
16,8,2.00
16,16,1.68
16,32,1.65
16,64,2.17
16,128,2.24
16,256,2.52
16,512,2.88
16,1024,3.56
16,2048,4.74
16,4096,7.09
16,8192,11.64
16,16384,18.75
16,32768,33.96
16,65536,65.41
16,131072,118.98
16,262144,298.28
16,524288,677.46
16,1048576,1634.84
18,2,1.48
18,4,1.50
18,8,1.59
18,16,1.60
18,32,1.57
18,64,2.10
18,128,2.20
18,256,2.34
18,512,2.78
18,1024,3.30
18,2048,4.56
18,4096,6.91
18,8192,11.43
18,16384,18.41
18,32768,33.40
18,65536,65.43
18,131072,131.11
18,262144,340.44
18,524288,807.65
18,1048576,1921.76
20,2,1.50
20,4,1.51
20,8,1.54
20,16,1.60
20,32,1.62
20,64,2.13
20,128,2.15
20,256,2.32
20,512,2.87
20,1024,3.30
20,2048,4.65
20,4096,7.03
20,8192,12.00
20,16384,20.31
20,32768,36.23
20,65536,75.67
20,131072,139.68
20,262144,366.53
20,524288,875.51
20,1048576,2023.07
22,2,1.46
22,4,1.48
22,8,1.53
22,16,1.60
22,32,1.58
22,64,2.02
22,128,2.19
22,256,2.33
22,512,2.77
22,1024,3.21
22,2048,4.62
22,4096,7.01
22,8192,11.94
22,16384,20.38
22,32768,37.40
22,65536,76.56
22,131072,145.52
22,262144,391.97
22,524288,947.68
22,1048576,2123.80
24,2,1.57
24,4,1.86
24,8,1.58
24,16,1.68
24,32,1.72
24,64,2.17
24,128,2.15
24,256,2.44
24,512,2.91
24,1024,3.61
24,2048,4.87
24,4096,7.74
24,8192,12.98
24,16384,22.70
24,32768,42.78
24,65536,82.39
24,131072,154.96
24,262144,431.88
24,524288,1047.67
24,1048576,2257.14
26,2,1.51
26,4,1.94
26,8,1.53
26,16,1.62
26,32,1.61
26,64,1.99
26,128,2.12
26,256,2.46
26,512,2.79
26,1024,3.56
26,2048,5.15
26,4096,7.95
26,8192,12.95
26,16384,22.90
26,32768,43.36
26,65536,83.20
26,131072,163.66
26,262144,470.81
26,524288,1110.27
26,1048576,2388.32
28,2,1.55
28,4,1.95
28,8,1.55
28,16,1.67
28,32,1.66
28,64,2.06
28,128,2.29
28,256,2.45
28,512,2.82
28,1024,3.73
28,2048,5.19
28,4096,8.20
28,8192,13.28
28,16384,24.83
28,32768,46.10
28,65536,91.26
28,131072,176.00
28,262144,507.97
28,524288,1207.67
28,1048576,2516.00
30,2,1.49
30,4,2.09
30,8,1.52
30,16,1.62
30,32,1.61
30,64,2.13
30,128,2.11
30,256,2.37
30,512,2.86
30,1024,3.92
30,2048,5.29
30,4096,8.45
30,8192,14.14
30,16384,25.35
30,32768,47.02
30,65536,93.04
30,131072,185.08
30,262144,554.10
30,524288,1244.60
30,1048576,2629.79
32,2,1.63
32,4,2.59
32,8,1.64
32,16,1.72
32,32,1.74
32,64,2.31
32,128,2.32
32,256,2.58
32,512,3.12
32,1024,4.11
32,2048,5.69
32,4096,9.22
32,8192,16.32
32,16384,28.96
32,32768,52.03
32,65536,100.79
32,131072,194.38
32,262144,591.14
32,524288,1342.79
32,1048576,5801.48
34,2,1.56
34,4,1.66
34,8,1.59
34,16,1.68
34,32,1.76
34,64,2.15
34,128,2.38
34,256,2.53
34,512,3.09
34,1024,4.16
34,2048,5.64
34,4096,9.30
34,8192,16.33
34,16384,28.94
34,32768,52.18
34,65536,102.36
34,131072,216.87
34,262144,663.39
34,524288,1469.54
34,1048576,6209.82
36,2,1.55
36,4,2.27
36,8,1.60
36,16,1.67
36,32,1.80
36,64,2.28
36,128,2.24
36,256,2.54
36,512,3.07
36,1024,4.16
36,2048,5.78
36,4096,9.60
36,8192,16.61
36,16384,29.93
36,32768,54.49
36,65536,113.20
36,131072,222.88
36,262144,690.54
36,524288,1532.74
36,1048576,6285.39
38,2,1.55
38,4,2.05
38,8,1.56
38,16,1.69
38,32,1.75
38,64,2.17
38,128,2.36
38,256,2.51
38,512,3.10
38,1024,4.16
38,2048,5.75
38,4096,9.36
38,8192,16.26
38,16384,29.92
38,32768,54.93
38,65536,114.20
38,131072,231.50
38,262144,721.36
38,524288,1573.16
38,1048576,6465.46
40,2,1.59
40,4,1.71
40,8,1.59
40,16,1.72
40,32,1.81
40,64,2.16
40,128,2.35
40,256,2.64
40,512,3.16
40,1024,4.25
40,2048,6.01
40,4096,10.10
40,8192,17.62
40,16384,31.44
40,32768,60.97
40,65536,119.37
40,131072,247.33
40,262144,760.23
40,524288,1631.03
40,1048576,6599.88
42,2,1.81
42,4,1.85
42,8,1.57
42,16,1.68
42,32,1.77
42,64,2.24
42,128,2.20
42,256,2.52
42,512,3.12
42,1024,4.37
42,2048,6.14
42,4096,9.90
42,8192,17.22
42,16384,31.39
42,32768,61.00
42,65536,120.77
42,131072,253.88
42,262144,792.89
42,524288,1707.29
42,1048576,6847.38
44,2,1.58
44,4,1.85
44,8,1.59
44,16,1.71
44,32,1.81
44,64,2.20
44,128,2.26
44,256,2.56
44,512,3.22
44,1024,4.40
44,2048,6.33
44,4096,10.48
44,8192,18.08
44,16384,32.86
44,32768,63.40
44,65536,127.65
44,131072,265.05
44,262144,821.40
44,524288,1761.22
44,1048576,6949.13
46,2,1.86
46,4,1.55
46,8,1.57
46,16,1.68
46,32,1.81
46,64,2.23
46,128,2.30
46,256,2.54
46,512,3.22
46,1024,4.47
46,2048,6.21
46,4096,10.23
46,8192,18.24
46,16384,33.22
46,32768,65.06
46,65536,130.93
46,131072,280.62
46,262144,875.88
46,524288,1826.30
46,1048576,7337.83
48,2,1.83
48,4,1.84
48,8,1.63
48,16,1.76
48,32,1.84
48,64,2.28
48,128,2.30
48,256,2.63
48,512,3.28
48,1024,4.59
48,2048,6.53
48,4096,10.98
48,8192,19.26
48,16384,35.79
48,32768,68.33
48,65536,137.47
48,131072,296.63
48,262144,922.15
48,524288,1912.26
48,1048576,7534.88
