Processes,Size,Latency
42,2,0.74
42,4,0.81
42,8,0.75
42,16,0.76
42,32,0.79
42,64,0.79
42,128,0.95
42,256,0.93
42,512,0.99
42,1024,1.11
42,2048,1.34
42,4096,1.95
42,8192,3.05
42,16384,6.06
42,32768,12.70
42,65536,27.69
42,131072,60.25
42,262144,776.30
42,524288,1710.00
42,1048576,3872.37
44,2,0.76
44,4,0.79
44,8,0.77
44,16,0.77
44,32,0.78
44,64,0.80
44,128,0.99
44,256,0.97
44,512,1.04
44,1024,1.14
44,2048,1.40
44,4096,2.06
44,8192,3.10
44,16384,6.24
44,32768,12.85
44,65536,28.92
44,131072,61.91
44,262144,802.19
44,524288,1810.54
44,1048576,4023.75
46,2,0.84
46,4,0.88
46,8,0.79
46,16,0.82
46,32,0.84
46,64,0.81
46,128,1.01
46,256,1.05
46,512,1.05
46,1024,1.26
46,2048,1.41
46,4096,2.11
46,8192,3.16
46,16384,6.31
46,32768,13.54
46,65536,29.80
46,131072,64.05
46,262144,876.38
46,524288,1984.77
46,1048576,4182.69
48,2,0.84
48,4,0.83
48,8,0.89
48,16,0.84
48,32,0.86
48,64,0.87
48,128,1.03
48,256,1.11
48,512,1.08
48,1024,1.26
48,2048,1.42
48,4096,2.13
48,8192,3.25
48,16384,6.47
48,32768,13.93
48,65536,31.45
48,131072,67.92
48,262144,906.20
48,524288,2074.53
48,1048576,4561.78
