Processes,Size,Latency
2,2,0.36
2,4,0.35
2,8,0.35
2,16,0.34
2,32,0.51
2,64,0.43
2,128,0.71
2,256,0.76
2,512,0.86
2,1024,0.93
2,2048,1.27
2,4096,1.90
2,8192,3.59
2,16384,6.16
2,32768,11.48
2,65536,21.53
2,131072,40.24
2,262144,25.10
2,524288,62.70
2,1048576,161.86
4,2,0.44
4,4,0.42
4,8,0.45
4,16,0.43
4,32,0.50
4,64,0.49
4,128,0.73
4,256,0.75
4,512,0.88
4,1024,0.94
4,2048,1.31
4,4096,2.26
4,8192,3.55
4,16384,6.21
4,32768,11.59
4,65536,22.50
4,131072,42.43
4,262144,64.05
4,524288,157.37
4,1048576,337.57
6,2,0.58
6,4,0.58
6,8,0.59
6,16,0.57
6,32,0.62
6,64,0.57
6,128,0.78
6,256,0.87
6,512,0.89
6,1024,0.99
6,2048,1.27
6,4096,2.23
6,8192,3.43
6,16384,6.22
6,32768,11.97
6,65536,22.97
6,131072,44.31
6,262144,114.15
6,524288,224.47
6,1048576,555.41
8,2,0.66
8,4,0.60
8,8,0.59
8,16,0.56
8,32,0.64
8,64,0.63
8,128,0.92
8,256,0.87
8,512,0.92
8,1024,1.05
8,2048,1.37
8,4096,2.29
8,8192,3.63
8,16384,6.67
8,32768,12.14
8,65536,23.27
8,131072,47.47
8,262144,137.53
8,524288,291.39
8,1048576,797.63
10,2,0.49
10,4,0.53
10,8,0.48
10,16,0.51
10,32,0.52
10,64,0.57
10,128,0.76
10,256,0.84
10,512,0.84
10,1024,0.97
10,2048,1.23
10,4096,2.14
10,8192,3.38
10,16384,6.62
10,32768,13.05
10,65536,25.15
10,131072,55.24
10,262144,166.71
10,524288,364.11
10,1048576,1143.01
12,2,0.70
12,4,0.72
12,8,0.73
12,16,0.69
12,32,0.65
12,64,0.64
12,128,0.98
12,256,1.01
12,512,1.00
12,1024,1.14
12,2048,1.40
12,4096,2.39
12,8192,3.65
12,16384,7.35
12,32768,13.61
12,65536,28.34
12,131072,61.69
12,262144,200.30
12,524288,458.00
12,1048576,1547.83
14,2,0.90
14,4,0.94
14,8,0.89
14,16,0.90
14,32,1.00
14,64,0.94
14,128,1.21
14,256,1.27
14,512,1.25
14,1024,1.46
14,2048,1.69
14,4096,2.69
14,8192,3.98
14,16384,7.63
14,32768,14.57
14,65536,31.35
14,131072,70.60
14,262144,237.49
14,524288,586.53
14,1048576,1961.04
16,2,1.15
16,4,1.13
16,8,1.13
16,16,1.22
16,32,1.12
16,64,1.14
16,128,1.46
16,256,1.46
16,512,1.56
16,1024,1.68
16,2048,1.90
16,4096,2.86
16,8192,4.47
16,16384,8.31
16,32768,15.91
16,65536,32.92
16,131072,72.44
16,262144,272.08
16,524288,709.61
16,1048576,2297.25
18,2,1.00
18,4,1.14
18,8,1.06
18,16,1.17
18,32,1.18
18,64,1.20
18,128,1.40
18,256,1.51
18,512,1.44
18,1024,1.52
18,2048,1.87
18,4096,2.86
18,8192,4.46
18,16384,8.43
18,32768,16.64
18,65536,39.11
18,131072,86.22
18,262144,305.62
18,524288,905.24
18,1048576,2689.03
20,2,1.23
20,4,1.25
20,8,1.32
20,16,1.25
20,32,1.19
20,64,1.26
20,128,1.50
20,256,1.53
20,512,1.64
20,1024,1.78
20,2048,2.02
20,4096,2.87
20,8192,4.50
20,16384,8.71
20,32768,18.04
20,65536,42.15
20,131072,91.47
20,262144,354.02
20,524288,1068.72
20,1048576,3022.47
22,2,1.35
22,4,1.38
22,8,1.52
22,16,1.33
22,32,1.44
22,64,1.38
22,128,1.76
22,256,1.71
22,512,1.72
22,1024,1.94
22,2048,2.24
22,4096,3.09
22,8192,4.84
22,16384,9.19
22,32768,19.20
22,65536,46.33
22,131072,96.80
22,262144,390.65
22,524288,1245.85
22,1048576,3348.43
24,2,1.61
24,4,1.51
24,8,1.64
24,16,1.53
24,32,1.60
24,64,1.52
24,128,1.87
24,256,1.95
24,512,1.92
24,1024,2.17
24,2048,2.44
24,4096,3.27
24,8192,4.80
24,16384,9.98
24,32768,20.72
24,65536,48.29
24,131072,105.49
24,262144,461.96
24,524288,1518.43
24,1048576,3806.52
26,2,1.35
26,4,1.27
26,8,1.28
26,16,1.29
26,32,1.28
26,64,1.38
26,128,1.71
26,256,1.71
26,512,1.56
26,1024,1.72
26,2048,2.02
26,4096,2.92
26,8192,4.40
26,16384,9.04
26,32768,19.20
26,65536,47.34
26,131072,102.93
26,262144,494.39
26,524288,1604.18
26,1048576,4115.64
28,2,1.19
28,4,1.23
28,8,1.16
28,16,1.15
28,32,1.12
28,64,1.22
28,128,1.49
28,256,1.46
28,512,1.40
28,1024,1.62
28,2048,1.86
28,4096,2.67
