Processes,Size,Latency
2,2,0.18
2,4,0.19
2,8,0.18
2,16,0.18
2,32,0.23
2,64,0.22
2,128,0.30
2,256,0.32
2,512,0.35
2,1024,0.38
2,2048,0.51
2,4096,0.78
2,8192,1.32
2,16384,2.42
2,32768,4.27
2,65536,7.94
2,131072,15.10
2,262144,25.93
2,524288,60.40
2,1048576,158.64
4,2,0.40
4,4,0.38
4,8,0.38
4,16,0.39
4,32,0.41
4,64,0.44
4,128,0.54
4,256,0.59
4,512,0.67
4,1024,0.81
4,2048,1.14
4,4096,1.83
4,8192,2.71
4,16384,4.70
4,32768,8.31
4,65536,15.21
4,131072,33.12
4,262144,69.51
4,524288,151.87
4,1048576,307.61
6,2,0.41
6,4,0.40
6,8,0.42
6,16,0.43
6,32,0.41
6,64,0.46
6,128,0.56
6,256,0.62
6,512,0.69
6,1024,0.82
6,2048,1.30
6,4096,1.84
6,8192,2.95
6,16384,5.21
6,32768,9.30
6,65536,17.17
6,131072,44.13
6,262144,103.26
6,524288,207.09
6,1048576,497.65
8,2,0.51
8,4,0.49
8,8,0.50
8,16,0.53
8,32,0.56
8,64,0.56
8,128,0.71
8,256,0.82
8,512,0.92
8,1024,1.17
8,2048,1.55
8,4096,2.36
8,8192,3.79
8,16384,6.68
8,32768,11.90
8,65536,23.24
8,131072,52.19
8,262144,116.07
8,524288,246.03
8,1048576,753.59
10,2,0.45
10,4,0.45
10,8,0.46
10,16,0.45
10,32,0.49
10,64,0.54
10,128,0.69
10,256,0.73
10,512,1.06
10,1024,1.02
10,2048,1.47
10,4096,2.31
10,8192,3.79
10,16384,6.60
10,32768,11.68
10,65536,23.10
10,131072,60.81
10,262144,133.62
10,524288,301.61
10,1048576,1003.74
12,2,0.46
12,4,0.45
12,8,0.46
12,16,0.47
12,32,0.50
12,64,0.53
12,128,0.72
12,256,0.73
12,512,0.89
12,1024,1.09
12,2048,1.56
12,4096,2.52
12,8192,4.13
12,16384,7.30
12,32768,13.37
12,65536,28.62
12,131072,64.35
12,262144,146.13
12,524288,377.34
12,1048576,1184.91
14,2,0.53
14,4,0.54
14,8,0.56
14,16,0.60
14,32,0.64
14,64,0.75
14,128,0.90
14,256,0.92
14,512,1.11
14,1024,1.35
14,2048,1.95
14,4096,2.98
14,8192,4.81
14,16384,8.47
14,32768,15.46
14,65536,32.12
14,131072,71.79
14,262144,177.22
14,524288,449.37
14,1048576,1283.70
16,2,0.68
16,4,0.67
16,8,0.71
16,16,0.77
16,32,1.24
16,64,0.89
16,128,1.08
16,256,1.18
16,512,1.36
16,1024,1.68
16,2048,2.38
16,4096,3.78
16,8192,6.39
16,16384,10.78
16,32768,20.87
16,65536,50.22
16,131072,95.68
16,262144,226.80
16,524288,540.30
16,1048576,1413.52
18,2,0.63
18,4,0.66
18,8,0.67
18,16,1.11
18,32,0.78
18,64,0.92
18,128,1.03
18,256,1.15
18,512,1.29
18,1024,1.57
18,2048,2.38
18,4096,3.73
18,8192,6.14
18,16384,10.75
18,32768,21.65
18,65536,42.64
18,131072,113.67
18,262144,254.76
18,524288,631.35
18,1048576,1669.32
20,2,0.70
20,4,0.67
20,8,0.70
20,16,1.11
20,32,0.83
20,64,0.92
20,128,1.04
20,256,1.13
20,512,1.31
20,1024,1.62
20,2048,2.34
20,4096,3.88
20,8192,6.57
20,16384,11.23
20,32768,22.24
20,65536,52.33
20,131072,120.03
20,262144,255.76
20,524288,653.89
20,1048576,1626.09
22,2,0.63
22,4,0.63
22,8,0.66
22,16,1.12
22,32,0.77
22,64,0.92
22,128,1.02
22,256,1.11
22,512,1.24
22,1024,1.60
22,2048,2.39
22,4096,3.87
22,8192,6.46
22,16384,11.56
22,32768,22.76
22,65536,55.85
22,131072,124.75
22,262144,265.62
22,524288,687.73
22,1048576,1686.48
24,2,0.68
24,4,0.71
24,8,0.71
24,16,1.05
24,32,0.86
24,64,0.97
24,128,1.11
24,256,1.16
24,512,1.35
24,1024,1.72
24,2048,2.56
24,4096,4.20
24,8192,6.95
24,16384,12.58
24,32768,25.25
24,65536,59.40
24,131072,118.76
24,262144,277.23
24,524288,701.56
24,1048576,1701.97
26,2,0.68
26,4,0.69
26,8,0.72
26,16,0.75
26,32,0.82
26,64,0.95
26,128,1.03
26,256,1.12
26,512,1.32
26,1024,1.73
26,2048,2.47
26,4096,4.19
26,8192,6.91
26,16384,12.79
26,32768,24.66
26,65536,55.17
26,131072,123.86
26,262144,299.41
26,524288,733.70
26,1048576,1755.84
28,2,0.72
28,4,0.75
28,8,0.77
28,16,0.82
28,32,0.88
