Processes,Size,Latency
34,2,17.01
34,4,17.50
34,8,17.47
34,16,18.12
34,32,19.10
34,64,19.14
34,128,22.97
34,256,23.70
34,512,25.68
34,1024,28.33
34,2048,37.21
34,4096,47.90
34,8192,65.91
34,16384,99.71
34,32768,147.80
34,65536,255.83
34,131072,479.77
34,262144,687.24
34,524288,1888.67
34,1048576,4857.83
36,2,18.66
36,4,18.95
36,8,19.05
36,16,19.19
36,32,20.60
36,64,21.25
36,128,25.07
36,256,25.66
36,512,28.20
36,1024,30.80
36,2048,39.01
36,4096,50.65
36,8192,71.80
36,16384,105.74
36,32768,155.55
36,65536,269.41
36,131072,504.24
36,262144,728.82
36,524288,1952.94
36,1048576,5035.77
38,2,20.18
38,4,20.74
38,8,21.21
38,16,21.11
38,32,22.51
38,64,22.59
38,128,26.90
38,256,28.15
38,512,29.83
38,1024,33.27
38,2048,43.36
38,4096,54.18
38,8192,77.08
38,16384,113.08
38,32768,164.13
38,65536,285.58
38,131072,535.04
38,262144,772.43
38,524288,2037.11
38,1048576,5199.20
40,2,21.71
40,4,22.24
40,8,22.98
40,16,22.28
40,32,24.62
40,64,24.54
40,128,28.56
40,256,29.95
40,512,32.12
40,1024,35.22
40,2048,45.93
40,4096,58.76
40,8192,81.59
40,16384,119.84
40,32768,173.31
40,65536,303.05
40,131072,564.38
40,262144,804.07
40,524288,2110.67
40,1048576,5377.06
42,2,23.72
42,4,24.33
42,8,24.90
42,16,24.17
42,32,26.09
42,64,26.57
42,128,31.51
42,256,32.61
42,512,34.67
42,1024,38.43
42,2048,47.79
42,4096,62.45
42,8192,84.96
42,16384,125.43
42,32768,183.32
42,65536,317.32
42,131072,586.99
42,262144,835.18
42,524288,2179.47
42,1048576,5497.45
44,2,25.76
44,4,25.85
44,8,26.12
44,16,25.89
44,32,27.86
44,64,28.19
44,128,32.68
44,256,34.57
44,512,36.95
44,1024,40.65
44,2048,52.90
44,4096,65.43
44,8192,90.51
44,16384,131.98
44,32768,192.52
44,65536,331.80
44,131072,614.97
44,262144,871.16
44,524288,2248.50
44,1048576,5650.07
46,2,27.97
46,4,28.68
46,8,28.92
46,16,28.82
46,32,30.79
46,64,31.31
46,128,35.40
46,256,37.28
46,512,39.41
46,1024,43.27
46,2048,55.03
46,4096,69.10
46,8192,96.18
46,16384,138.77
46,32768,201.29
46,65536,349.86
46,131072,641.40
46,262144,917.96
46,524288,2322.69
46,1048576,5803.38
48,2,29.75
48,4,30.50
48,8,29.94
48,16,29.84
48,32,32.33
48,64,32.66
48,128,38.11
48,256,39.48
48,512,41.59
48,1024,46.05
48,2048,58.17
