Total Tasks,Execution Time (s)
2,0.134198
4,0.102710
6,0.078108
8,0.089596
10,0.062614
12,0.074193
14,0.052538
16,0.057197
18,0.038140
20,0.035924
22,0.034852
24,0.028251
26,0.045062
28,0.037291
30,0.051188
32,0.063389
34,0.073260
36,0.079665
38,0.082978
40,0.072201
42,0.070895
44,0.069692
46,0.063439
48,0.057347
50,0.073349
52,0.064453
54,0.067319
56,0.070784
58,0.072671
60,0.025331
62,0.028189
64,0.028070
66,0.026068
68,0.029416
70,0.023359
72,0.022786
74,0.026423
76,0.024328
78,0.030881
80,0.025663
82,0.023630
84,0.026739
86,0.023692
88,0.025464
90,0.026021
92,0.023244
94,0.022821
96,0.022728
