Total Tasks,Execution Time (s)
2,0.142583
4,0.116077
6,0.088282
8,0.073059
10,0.060698
12,0.053305
14,0.047318
16,0.047750
18,0.042652
20,0.042846
22,0.043432
24,0.041293
26,0.043318
28,0.044076
30,0.043535
32,0.042385
34,0.039353
36,0.041662
38,0.036275
40,0.041026
42,0.040853
44,0.035892
46,0.036007
48,0.034203
50,0.035063
52,0.033003
54,0.030053
56,0.029156
58,0.023455
60,0.026892
62,0.024683
64,0.021307
66,0.021571
68,0.022835
70,0.024673
72,0.021935
74,0.023198
76,0.025641
78,0.021857
80,0.022770
82,0.020820
84,0.020565
86,0.018934
88,0.019843
90,0.022058
92,0.018940
94,0.017866
96,0.019858
98,0.019616
100,0.019476
102,0.023070
104,0.019210
106,0.020729
108,0.019700
110,0.019275
112,0.019726
114,0.020345
116,0.016928
118,0.018062
120,0.018924
122,0.029480
124,0.018889
126,0.019021
128,0.023220
130,0.016494
132,0.017696
134,0.018733
136,0.015699
138,0.016926
140,0.016642
142,0.016689
144,0.017715
146,0.017942
148,0.018379
150,0.014477
152,0.031144
154,0.030741
156,0.027387
158,0.022600
160,0.020102
162,0.018900
164,0.019188
166,0.016160
168,0.015659
170,0.015496
172,0.017670
174,0.014128
176,0.016371
178,0.014968
180,0.017038
182,0.013648
184,0.017513
186,0.017636
188,0.016801
190,0.014775
192,0.017408
194,0.017517
196,0.014676
198,0.012961
200,0.016332
202,0.059522
204,0.056370
206,0.055498
208,0.052358
210,0.051376
212,0.049070
214,0.047615
216,0.044324
218,0.043208
220,0.037719
222,0.039266
224,0.035815
226,0.037859
228,0.034646
230,0.036486
232,0.030461
234,0.029196
236,0.025308
238,0.023029
240,0.020372
242,0.020374
244,0.022674
246,0.019241
248,0.019686
250,0.015308
252,0.016769
254,0.020267
256,0.018585
