Total Tasks,Execution Time (s)
2,0.134333
4,0.109679
6,0.078238
8,0.064920
10,0.084706
12,0.066035
14,0.041093
16,0.048884
18,0.036098
20,0.036588
22,0.030454
24,0.027452
26,0.044647
28,0.036875
30,0.054444
32,0.065473
34,0.068506
36,0.073636
38,0.056023
40,0.067803
42,0.069419
44,0.074702
46,0.049802
48,0.055713
50,0.057343
52,0.058919
54,0.067474
56,0.063977
58,0.074491
60,0.028456
62,0.020930
64,0.026600
66,0.026379
68,0.025746
70,0.024592
72,0.034472
74,0.023242
76,0.024608
78,0.018369
80,0.017308
82,0.019038
84,0.025732
86,0.022870
88,0.023906
90,0.027099
92,0.020489
94,0.021487
96,0.027983
