MPI_Processes,Columns,Rows,Execution_Time
2,1600,1200,0.141763
4,3200,2400,0.115290
6,4800,3600,0.088740
8,6400,4800,0.071381
10,8000,6000,0.066678
12,9600,7200,0.052373
14,11200,8400,0.053341
16,12800,9600,0.043219
18,14400,10800,0.042684
20,16000,12000,0.043267
22,17600,13200,0.049029
24,19200,14400,0.046610
26,20800,15600,0.044593
28,22400,16800,0.041935
30,24000,18000,0.041218
32,25600,19200,0.034112
34,27200,20400,0.037963
36,28800,21600,0.036550
38,30400,22800,0.038008
40,32000,24000,0.036268
42,33600,25200,0.032960
44,35200,26400,0.027179
46,36800,27600,0.034953
48,38400,28800,0.033086
50,40000,30000,0.030910
52,41600,31200,0.032359
54,43200,32400,0.030791
56,44800,33600,0.029303
58,46400,34800,0.026746
60,48000,36000,0.025913
62,49600,37200,0.024514
64,51200,38400,0.025436
66,52800,39600,0.026041
68,54400,40800,0.022824
70,56000,42000,0.023566
72,57600,43200,0.021607
74,59200,44400,0.024099
76,60800,45600,0.023520
78,62400,46800,0.021306
80,64000,48000,0.021831
82,65600,49200,0.022560
84,67200,50400,0.021633
86,68800,51600,0.018966
88,70400,52800,0.022106
90,72000,54000,0.019621
92,73600,55200,0.019085
94,75200,56400,0.021929
96,76800,57600,0.021146
98,78400,58800,0.021697
100,80000,60000,0.018386
102,81600,61200,0.018298
104,83200,62400,0.021707
106,84800,63600,0.018615
108,86400,64800,0.018709
110,88000,66000,0.019642
112,89600,67200,0.020129
114,91200,68400,0.020587
116,92800,69600,0.021425
118,94400,70800,0.020724
120,96000,72000,0.017409
122,97600,73200,0.030736
124,99200,74400,0.019069
126,100800,75600,0.013428
128,102400,76800,0.019260
130,104000,78000,0.017135
132,105600,79200,0.015399
134,107200,80400,0.015755
136,108800,81600,0.018133
138,110400,82800,0.019298
140,112000,84000,0.018897
142,113600,85200,0.018104
144,115200,86400,0.017534
146,116800,87600,0.021184
148,118400,88800,0.017172
150,120000,90000,0.015815
152,121600,91200,0.030993
154,123200,92400,0.029173
156,124800,93600,0.025841
158,126400,94800,0.025385
160,128000,96000,0.022763
162,129600,97200,0.016789
164,131200,98400,0.015061
166,132800,99600,0.015020
168,134400,100800,0.013432
170,136000,102000,0.016013
172,137600,103200,0.016510
174,139200,104400,0.016654
176,140800,105600,0.014592
178,142400,106800,0.017013
180,144000,108000,0.013855
182,145600,109200,0.017418
184,147200,110400,0.017923
186,148800,111600,0.014613
188,150400,112800,0.018659
190,152000,114000,0.013726
192,153600,115200,0.015158
194,155200,116400,0.016720
196,156800,117600,0.015814
198,158400,118800,0.015976
200,160000,120000,0.017355
202,161600,121200,0.060597
204,163200,122400,0.059270
206,164800,123600,0.055419
208,166400,124800,0.051825
210,168000,126000,0.050710
212,169600,127200,0.047802
214,171200,128400,0.048733
216,172800,129600,0.044552
218,174400,130800,0.044628
220,176000,132000,0.040482
222,177600,133200,0.036866
224,179200,134400,0.037973
226,180800,135600,0.036984
228,182400,136800,0.033263
230,184000,138000,0.028435
232,185600,139200,0.028302
234,187200,140400,0.025778
236,188800,141600,0.025945
238,190400,142800,0.023540
240,192000,144000,0.023199
242,193600,145200,0.022225
244,195200,146400,0.019662
246,196800,147600,0.018501
248,198400,148800,0.017153
250,200000,150000,0.020286
252,201600,151200,0.015995
254,203200,152400,0.015356
256,204800,153600,0.012849
258,206400,154800,
260,208000,156000,
262,209600,157200,
264,211200,158400,
266,212800,159600,
268,214400,160800,
270,216000,162000,
272,217600,163200,
274,219200,164400,
276,220800,165600,
278,222400,166800,
280,224000,168000,
282,225600,169200,
284,227200,170400,
286,228800,171600,
288,230400,172800,
290,232000,174000,
292,233600,175200,
294,235200,176400,
