MPI_Processes,Columns,Rows,Execution_Time
2,1600,1200,
4,3200,2400,
6,4800,3600,
8,6400,4800,
10,8000,6000,
12,9600,7200,
14,11200,8400,
16,12800,9600,
18,14400,10800,0.291638
20,16000,12000,0.055784
22,17600,13200,0.076397
24,19200,14400,0.028895
26,20800,15600,0.046964
28,22400,16800,0.045299
30,24000,18000,0.053127
32,25600,19200,0.051350
34,27200,20400,0.059964
36,28800,21600,0.075044
38,30400,22800,0.082277
40,32000,24000,0.068726
42,33600,25200,0.070538
44,35200,26400,0.063441
46,36800,27600,0.053691
48,38400,28800,0.054793
50,40000,30000,0.056325
52,41600,31200,0.065543
54,43200,32400,0.069925
56,44800,33600,0.061321
58,46400,34800,0.067765
60,48000,36000,0.030137
62,49600,37200,0.026065
64,51200,38400,0.026881
66,52800,39600,0.028866
68,54400,40800,0.019325
70,56000,42000,0.015691
72,57600,43200,0.019348
74,59200,44400,0.019928
76,60800,45600,0.017820
78,62400,46800,0.018388
80,64000,48000,0.018519
82,65600,49200,0.019434
84,67200,50400,0.021007
86,68800,51600,0.031067
88,70400,52800,0.026818
90,72000,54000,0.022990
92,73600,55200,0.020225
94,75200,56400,0.021358
96,76800,57600,0.020010
