OMP_NUM_THREADS,Problem_Size,Execution_Time
1,800,600,0.259431
2,1600,1200,0.262667
3,2400,1800,0.269124
4,3200,2400,0.273503
5,4000,3000,0.272528
6,4800,3600,
7,5600,4200,
8,6400,4800,
9,7200,5400,
10,8000,6000,
11,8800,6600,
12,9600,7200,
13,10400,7800,
14,11200,8400,
15,12000,9000,0.177579
16,12800,9600,0.140650
17,13600,10200,0.097013
18,14400,10800,0.080522
19,15200,11400,0.112519
20,16000,12000,0.096310
21,16800,12600,0.076550
22,17600,13200,0.076890
23,18400,13800,0.297616
24,19200,14400,
