OMP_NUM_THREADS,Problem_Size,Execution_Time
1,800,600,0.245213
2,1600,1200,0.244858
3,2400,1800,0.246047
4,3200,2400,0.244908
5,4000,3000,0.245131
6,4800,3600,0.245012
7,5600,4200,0.244297
8,6400,4800,0.244018
9,7200,5400,0.244586
10,8000,6000,0.245020
11,8800,6600,0.245320
12,9600,7200,0.244035
13,10400,7800,0.244282
14,11200,8400,0.244637
15,12000,9000,0.246151
16,12800,9600,0.244739
17,13600,10200,0.255086
18,14400,10800,0.244922
19,15200,11400,0.245138
20,16000,12000,0.246175
21,16800,12600,0.245284
22,17600,13200,0.245540
23,18400,13800,0.244776
24,19200,14400,0.244554
