Total Tasks,Execution Time (s)
2,1.391995
4,0.877711
6,0.660329
8,0.533670
10,0.443116
12,0.374062
14,0.319690
16,0.284638
18,0.254884
20,0.230913
22,0.210686
24,0.195128
26,0.181656
28,0.170349
30,0.158962
32,0.150554
34,0.141278
36,0.133699
38,0.128563
40,0.123893
42,0.116617
44,0.111731
46,0.106158
48,0.101966
50,0.099244
52,0.094136
54,0.092635
56,0.089752
58,0.087246
60,0.083857
62,0.081577
64,0.081563
66,0.077360
68,0.075914
70,0.071879
72,0.072916
74,0.071057
76,0.070380
78,0.065709
80,0.066940
82,0.064224
84,0.063931
86,0.063544
88,0.061250
90,0.060825
92,0.062655
94,0.056862
96,0.053509
98,0.057652
100,0.055092
102,0.054718
104,0.054424
106,0.053214
108,0.051152
110,0.049841
112,0.049378
114,0.054821
116,0.048575
118,0.047730
120,0.045496
122,0.047679
124,0.046250
126,0.050158
128,0.043194
130,0.049018
132,0.047758
134,0.042165
136,0.047448
138,0.042228
140,0.042746
142,0.043690
144,0.044697
146,0.039230
148,0.039108
150,0.044263
152,0.038179
154,0.041735
156,0.042241
158,0.038123
160,0.037467
162,0.038655
164,0.035292
166,0.038409
168,0.040079
170,0.033811
172,0.034614
174,0.040320
176,0.035601
178,0.040008
180,0.036038
182,0.033943
184,0.036270
186,2.328141
188,0.033073
190,0.035796
192,0.036375
194,0.030452
196,0.036991
198,0.035669
200,0.035824
202,0.044715
204,0.037894
206,0.033928
208,0.032436
210,0.029988
212,0.032168
214,0.032508
216,0.030791
218,0.027829
220,0.031027
222,0.028882
224,0.032628
226,0.031295
228,0.030294
230,0.059211
232,0.045812
234,0.050435
236,0.045512
238,0.039600
240,0.034122
242,0.029605
244,0.034236
246,0.029202
248,0.030141
250,0.030089
252,0.031659
254,0.028698
256,0.031909
