MPI_Processes,Columns,Rows,Execution_Time
2,1000,2000,0.585014
4,1000,4000,0.912785
6,1000,6000,1.026331
8,1000,8000,1.103133
10,1000,10000,1.123749
12,1000,12000,1.141008
14,1000,14000,1.146524
16,1000,16000,1.157674
18,1000,18000,1.161864
20,1000,20000,1.169084
22,1000,22000,1.172704
24,1000,24000,1.184106
26,1000,26000,1.189496
28,1000,28000,1.192024
30,1000,30000,1.197822
32,1000,32000,1.204825
34,1000,34000,1.205719
36,1000,36000,1.208988
38,1000,38000,1.212880
40,1000,40000,1.215558
42,1000,42000,1.215592
44,1000,44000,1.222945
46,1000,46000,1.222742
48,1000,48000,1.224797
50,1000,50000,1.225279
52,1000,52000,1.232147
54,1000,54000,1.233099
56,1000,56000,1.233457
58,1000,58000,1.235941
60,1000,60000,1.242424
62,1000,62000,1.243621
64,1000,64000,1.245920
66,1000,66000,1.247079
68,1000,68000,1.250445
70,1000,70000,1.250575
72,1000,72000,1.271985
74,1000,74000,1.260675
76,1000,76000,1.264146
78,1000,78000,1.261096
80,1000,80000,1.264604
82,1000,82000,1.264818
84,1000,84000,1.260691
86,1000,86000,1.271410
88,1000,88000,1.276621
90,1000,90000,1.277948
92,1000,92000,1.281937
94,1000,94000,1.284542
96,1000,96000,1.287304
98,1000,98000,1.288477
100,1000,100000,1.289521
102,1000,102000,1.290375
104,1000,104000,1.307462
106,1000,106000,1.296332
108,1000,108000,1.304262
110,1000,110000,1.302900
112,1000,112000,1.304740
114,1000,114000,1.305422
116,1000,116000,1.312362
118,1000,118000,1.307458
120,1000,120000,1.315069
122,1000,122000,1.327603
124,1000,124000,1.316897
126,1000,126000,1.318028
128,1000,128000,1.325953
130,1000,130000,1.324818
132,1000,132000,1.338407
134,1000,134000,1.322441
136,1000,136000,1.337817
138,1000,138000,1.329339
140,1000,140000,1.336894
142,1000,142000,1.352064
144,1000,144000,1.339964
146,1000,146000,1.355793
148,1000,148000,1.343348
150,1000,150000,1.345071
152,1000,152000,1.342546
154,1000,154000,1.350350
156,1000,156000,1.356238
158,1000,158000,1.358116
160,1000,160000,1.354524
162,1000,162000,1.355310
164,1000,164000,1.376361
166,1000,166000,1.354231
168,1000,168000,1.368858
170,1000,170000,1.369182
172,1000,172000,1.372021
174,1000,174000,1.407425
176,1000,176000,1.369901
178,1000,178000,1.370438
180,1000,180000,1.372842
182,1000,182000,1.369400
184,1000,184000,1.378163
186,1000,186000,1.395010
188,1000,188000,1.384598
190,1000,190000,1.377800
192,1000,192000,1.384817
194,1000,194000,1.385017
196,1000,196000,1.389967
198,1000,198000,1.382512
200,1000,200000,1.390420
202,1000,202000,1.395998
204,1000,204000,1.383761
206,1000,206000,1.402658
208,1000,208000,1.396275
210,1000,210000,1.401369
212,1000,212000,1.401168
214,1000,214000,1.398389
216,1000,216000,1.409526
218,1000,218000,1.401364
220,1000,220000,1.410050
222,1000,222000,1.411421
224,1000,224000,1.409929
226,1000,226000,1.417105
228,1000,228000,1.416245
230,1000,230000,1.416000
232,1000,232000,1.429710
234,1000,234000,1.412243
236,1000,236000,1.422863
238,1000,238000,1.422120
240,1000,240000,1.424268
242,1000,242000,1.419543
244,1000,244000,1.449605
246,1000,246000,1.445261
248,1000,248000,1.462142
250,1000,250000,1.445979
252,1000,252000,1.489253
254,1000,254000,1.505761
256,1000,256000,1.521045
