MPI_Processes,Columns,Rows,Execution_Time
1,1000,1000,0.439546
2,1000,2000,0.457251
3,1000,3000,0.799707
4,1000,4000,0.715300
5,1000,5000,0.875409
6,1000,6000,0.801168
7,1000,7000,0.888386
8,1000,8000,0.859217
9,1000,9000,0.895747
10,1000,10000,0.908928
11,1000,11000,0.902832
12,1000,12000,0.884294
13,1000,13000,0.951931
14,1000,14000,0.890744
15,1000,15000,0.923796
16,1000,16000,0.896731
17,1000,17000,0.922671
18,1000,18000,0.930950
19,1000,19000,0.925017
20,1000,20000,0.931343
21,1000,21000,0.950123
22,1000,22000,0.921814
23,1000,23000,0.929784
24,1000,24000,0.925274
25,1000,25000,0.969981
26,1000,26000,0.967305
27,1000,27000,0.956701
28,1000,28000,0.962213
29,1000,29000,0.936337
30,1000,30000,0.969143
31,1000,31000,0.937177
32,1000,32000,0.967689
33,1000,33000,0.941058
34,1000,34000,0.985250
35,1000,35000,0.966027
36,1000,36000,0.955481
37,1000,37000,0.940296
38,1000,38000,0.983410
39,1000,39000,0.953730
40,1000,40000,0.965946
41,1000,41000,0.985785
42,1000,42000,1.003531
43,1000,43000,1.014486
44,1000,44000,1.021408
45,1000,45000,1.035784
46,1000,46000,1.050578
47,1000,47000,1.077715
48,1000,48000,1.092346
