OMP_NUM_THREADS,Execution_Time
1,4.282830250
2,3.171687282
3,2.808275915
4,2.627424850
5,2.517794634
6,2.439514614
7,2.392535425
8,2.343478244
9,2.318510119
10,2.297103019
11,2.279429927
12,2.261475215
13,2.247923258
14,2.235150849
15,2.221747617
16,2.216721502
17,2.206581963
18,2.202620913
19,2.190746001
20,2.193966696
21,2.183984672
22,2.177566183
23,2.177018277
24,2.169462050
25,2.169318700
26,2.161994786
27,2.165333500
28,2.159947470
29,2.159397446
30,2.148952502
31,2.152018608
32,2.153055827
33,2.149465875
34,2.141900977
35,2.144603567
36,2.135855537
37,2.136833410
38,2.143561753
39,2.134665714
40,2.138002221
41,2.138270276
42,2.134123415
43,2.129924537
44,2.130292373
45,2.131135874
46,2.154001998
47,2.135880113
48,2.124163725
49,2.123785018
50,2.141893409
51,2.355904326
52,2.260642413
53,2.197554638
54,2.213391731
55,2.198571280
56,2.253582639
57,2.206984803
58,2.196656203
59,2.181206668
60,2.225856563
61,2.115867984
62,2.192306154
63,2.190531673
64,2.195812471
65,2.199687585
66,2.187567950
67,2.114351040
68,2.190409450
69,2.189535747
70,2.115577205
71,2.117997529
72,2.165270991
73,2.184251068
74,2.120013915
75,2.171925923
76,2.182202992
77,2.219827296
78,2.119144146
79,2.205647328
80,2.180737657
81,2.121525145
82,2.184826073
83,2.198904473
84,2.199161308
85,2.114933204
86,2.115429411
87,2.172012974
88,2.228126581
89,2.121428459
90,2.122555536
91,2.122894744
92,2.177672802
93,2.201344439
94,2.116685680
95,2.117446273
96,2.358988464
97,2.182813082
98,2.207898351
99,2.124532997
100,2.117817619
101,2.192754804
102,2.179808860
103,2.184170389
104,2.119837501
105,2.116958161
106,2.189811772
107,2.175121090
108,2.126204407
109,2.122805028
110,2.123355692
111,2.124040332
112,2.202833399
113,2.201006827
114,2.120133867
115,2.120522897
116,2.115348024
117,2.123475237
118,2.172793130
119,2.190989653
120,2.215634055
121,2.127819771
122,2.121349245
123,2.120257906
124,2.298169412
125,2.176683180
126,2.182719942
127,2.122025270
128,2.120772221
