OMP_NUM_THREADS,Problem_Size,Execution_Time
2,800*600,FAILED
4,1600*1200,FAILED
6,1600*1200,FAILED
8,1600*1200,FAILED
10,2400*1800,FAILED
12,2400*1800,FAILED
14,2400*1800,FAILED
16,3200*2400,FAILED
18,3200*2400,FAILED
20,3200*2400,FAILED
22,3200*2400,FAILED
24,3200*2400,FAILED
26,4000*3000,FAILED
28,4000*3000,FAILED
30,4000*3000,FAILED
32,4000*3000,FAILED
34,4000*3000,FAILED
36,4800*3600,FAILED
38,4800*3600,FAILED
40,4800*3600,FAILED
42,4800*3600,FAILED
44,4800*3600,FAILED
46,4800*3600,FAILED
48,4800*3600,FAILED
50,5600*4200,FAILED
52,5600*4200,FAILED
54,5600*4200,FAILED
56,5600*4200,FAILED
58,5600*4200,FAILED
60,5600*4200,FAILED
62,5600*4200,FAILED
64,6400*4800,FAILED
66,6400*4800,FAILED
68,6400*4800,FAILED
70,6400*4800,FAILED
72,6400*4800,FAILED
74,6400*4800,FAILED
76,6400*4800,FAILED
78,6400*4800,FAILED
80,6400*4800,FAILED
82,7200*5400,FAILED
84,7200*5400,FAILED
86,7200*5400,FAILED
88,7200*5400,FAILED
90,7200*5400,FAILED
92,7200*5400,FAILED
94,7200*5400,FAILED
96,7200*5400,FAILED
98,7200*5400,FAILED
100,8000*6000,FAILED
102,8000*6000,FAILED
104,8000*6000,FAILED
106,8000*6000,FAILED
108,8000*6000,FAILED
110,8000*6000,FAILED
112,8000*6000,FAILED
114,8000*6000,FAILED
116,8000*6000,FAILED
118,8000*6000,FAILED
120,8000*6000,FAILED
122,8800*6600,FAILED
124,8800*6600,FAILED
126,8800*6600,FAILED
128,8800*6600,FAILED
