OMP_NUM_THREADS,Problem_Size,Execution_Time
1,800,600,0.287845
2,1600,1200,0.263951
3,2400,1800,0.295005
4,3200,2400,0.291556
5,4000,3000,0.273217
6,4800,3600,0.269302
7,5600,4200,0.275770
8,6400,4800,0.264866
9,7200,5400,0.285244
10,8000,6000,0.263950
11,8800,6600,
12,9600,7200,
13,10400,7800,
14,11200,8400,
15,12000,9000,
16,12800,9600,0.304814
17,13600,10200,0.300220
18,14400,10800,0.298810
19,15200,11400,0.294466
20,16000,12000,0.297712
21,16800,12600,0.293360
22,17600,13200,0.312017
23,18400,13800,0.297596
24,19200,14400,0.311277
