Processes,Size,Latency
2,2,0.27
2,4,0.28
2,8,0.28
2,16,0.27
2,32,0.27
2,64,0.35
2,128,0.32
2,256,0.48
2,512,0.52
2,1024,0.59
2,2048,0.67
2,4096,0.92
2,8192,1.43
2,16384,2.39
2,32768,4.25
2,65536,7.85
2,131072,15.40
2,262144,28.59
2,524288,32.00
2,1048576,64.52
4,2,0.50
4,4,0.50
4,8,0.50
4,16,0.49
4,32,0.50
4,64,0.61
4,128,0.59
4,256,0.90
4,512,0.93
4,1024,1.05
4,2048,1.33
4,4096,1.92
4,8192,3.00
4,16384,4.99
4,32768,7.91
4,65536,13.49
4,131072,25.09
4,262144,48.72
4,524288,89.73
4,1048576,169.91
6,2,0.73
6,4,0.72
6,8,0.70
6,16,0.70
6,32,0.70
6,64,0.84
6,128,0.80
6,256,1.23
6,512,1.32
6,1024,1.50
6,2048,1.81
6,4096,2.67
6,8192,3.92
6,16384,6.26
6,32768,9.85
6,65536,17.79
6,131072,32.66
6,262144,61.47
6,524288,140.36
6,1048576,275.46
8,2,0.90
8,4,0.91
8,8,0.89
8,16,0.89
8,32,0.88
8,64,1.10
8,128,1.12
8,256,1.55
8,512,1.91
8,1024,1.81
8,2048,2.16
8,4096,3.21
8,8192,4.70
8,16384,7.32
8,32768,11.36
8,65536,19.89
8,131072,36.82
8,262144,69.03
8,524288,159.16
8,1048576,297.68
10,2,1.33
10,4,1.36
10,8,1.34
10,16,1.34
10,32,1.28
10,64,1.50
10,128,1.51
10,256,2.01
10,512,2.11
10,1024,2.22
10,2048,2.72
10,4096,3.78
10,8192,5.36
10,16384,8.25
10,32768,12.79
10,65536,22.04
10,131072,41.23
10,262144,75.90
10,524288,178.69
10,1048576,354.33
12,2,1.27
12,4,1.31
12,8,1.21
12,16,1.22
12,32,1.24
12,64,1.87
12,128,1.48
12,256,2.05
12,512,2.05
12,1024,2.16
12,2048,2.71
12,4096,3.97
12,8192,5.71
12,16384,8.72
12,32768,14.17
12,65536,23.59
12,131072,43.29
12,262144,82.09
12,524288,185.70
12,1048576,374.63
14,2,1.37
14,4,1.39
14,8,1.46
14,16,1.36
14,32,1.77
14,64,1.84
14,128,1.69
14,256,2.43
14,512,2.50
14,1024,2.75
14,2048,3.38
14,4096,4.73
14,8192,6.72
14,16384,10.45
14,32768,17.27
14,65536,30.57
14,131072,57.65
14,262144,108.47
14,524288,249.00
14,1048576,498.34
16,2,1.63
16,4,1.61
16,8,1.64
16,16,2.08
16,32,1.60
16,64,2.08
16,128,1.95
16,256,2.85
16,512,2.89
16,1024,3.14
16,2048,3.86
16,4096,5.38
16,8192,7.53
16,16384,11.43
16,32768,19.09
16,65536,32.64
16,131072,60.90
16,262144,114.19
16,524288,281.58
16,1048576,559.26
18,2,2.75
18,4,3.42
18,8,2.76
18,16,2.78
18,32,2.68
18,64,3.21
18,128,3.15
18,256,4.08
18,512,4.12
18,1024,4.31
18,2048,5.20
18,4096,6.94
18,8192,9.00
18,16384,13.69
18,32768,21.61
18,65536,36.42
18,131072,65.55
18,262144,123.29
18,524288,281.24
18,1048576,576.13
20,2,2.70
20,4,3.05
20,8,2.63
20,16,2.63
20,32,2.64
20,64,3.19
20,128,3.11
20,256,3.97
20,512,3.99
20,1024,4.31
20,2048,5.20
20,4096,6.56
20,8192,9.13
20,16384,13.89
20,32768,22.28
20,65536,37.77
20,131072,69.56
20,262144,130.92
20,524288,309.01
20,1048576,629.17
22,2,2.77
22,4,3.02
22,8,2.68
