Processes,Size,Latency
2,2,0.88
2,4,0.87
2,8,0.88
2,16,0.87
2,32,0.88
2,64,0.99
2,128,1.00
2,256,1.36
2,512,1.40
2,1024,1.74
2,2048,1.71
2,4096,2.34
2,8192,3.25
2,16384,5.84
2,32768,10.73
2,65536,20.07
2,131072,40.33
2,262144,77.99
2,524288,74.78
2,1048576,149.89
4,2,1.47
4,4,1.47
4,8,1.47
4,16,1.50
4,32,1.54
4,64,1.75
4,128,1.76
4,256,2.29
4,512,2.38
4,1024,2.70
4,2048,2.97
4,4096,4.33
4,8192,5.58
4,16384,9.65
4,32768,17.75
4,65536,32.80
4,131072,63.97
4,262144,123.80
4,524288,222.42
4,1048576,418.78
6,2,2.14
6,4,2.26
6,8,2.19
6,16,2.06
6,32,2.11
6,64,2.39
6,128,2.40
6,256,3.16
6,512,3.30
6,1024,3.88
6,2048,5.29
6,4096,7.70
6,8192,7.15
6,16384,11.85
6,32768,33.62
6,65536,40.52
6,131072,87.75
6,262144,157.61
6,524288,310.94
6,1048576,594.56
8,2,1.96
8,4,2.33
8,8,1.95
8,16,1.93
8,32,1.95
8,64,2.52
8,128,2.39
8,256,3.72
8,512,3.98
8,1024,4.14
8,2048,4.66
8,4096,6.75
8,8192,8.70
8,16384,14.18
8,32768,25.73
8,65536,50.84
8,131072,94.04
8,262144,179.40
8,524288,347.65
8,1048576,669.71
10,2,2.83
10,4,3.22
10,8,3.19
10,16,2.91
10,32,3.15
10,64,3.87
10,128,3.73
10,256,4.99
10,512,5.03
10,1024,5.92
10,2048,5.88
10,4096,8.05
10,8192,11.23
10,16384,16.79
10,32768,30.13
10,65536,55.15
10,131072,106.39
10,262144,202.37
10,524288,402.57
10,1048576,776.54
12,2,2.89
12,4,2.92
12,8,2.84
12,16,2.88
12,32,2.90
12,64,3.79
12,128,3.62
12,256,5.04
12,512,4.94
12,1024,5.42
12,2048,6.04
12,4096,8.52
12,8192,10.70
12,16384,18.05
12,32768,31.80
12,65536,59.89
12,131072,112.50
12,262144,222.04
12,524288,435.03
12,1048576,837.15
14,2,2.80
14,4,2.77
14,8,2.83
14,16,2.93
14,32,2.83
14,64,4.01
14,128,3.89
14,256,4.72
14,512,4.83
14,1024,5.86
14,2048,5.86
14,4096,8.45
14,8192,11.51
14,16384,18.29
14,32768,31.93
14,65536,60.24
14,131072,122.94
14,262144,223.59
14,524288,468.56
14,1048576,873.02
16,2,2.67
16,4,2.70
16,8,2.79
16,16,2.87
16,32,2.72
16,64,3.97
16,128,3.88
16,256,4.77
16,512,5.01
16,1024,5.61
16,2048,6.18
16,4096,8.53
16,8192,11.06
16,16384,18.27
16,32768,35.04
16,65536,65.28
16,131072,119.43
16,262144,230.96
16,524288,487.39
16,1048576,881.84
18,2,3.79
18,4,3.80
18,8,3.85
18,16,3.68
18,32,3.67
18,64,5.26
18,128,5.09
18,256,6.12
18,512,6.23
18,1024,6.99
18,2048,7.24
18,4096,9.94
18,8192,13.55
18,16384,20.29
18,32768,37.53
18,65536,71.17
18,131072,142.08
18,262144,269.20
18,524288,532.83
18,1048576,984.83
20,2,3.50
20,4,3.58
20,8,3.60
20,16,3.57
20,32,3.58
20,64,4.65
20,128,4.53
20,256,5.88
20,512,5.93
20,1024,6.25
20,2048,7.20
20,4096,9.95
20,8192,13.23
20,16384,20.50
20,32768,37.85
20,65536,69.39
20,131072,144.05
20,262144,260.52
20,524288,537.80
20,1048576,1022.09
22,2,3.44
22,4,3.66
22,8,3.59
22,16,3.56
22,32,3.50
22,64,4.49
22,128,4.38
22,256,5.87
22,512,6.15
22,1024,6.83
22,2048,7.30
22,4096,10.15
22,8192,12.45
22,16384,21.87
22,32768,41.00
22,65536,79.42
22,131072,150.84
22,262144,304.06
22,524288,585.34
22,1048576,1086.35
24,2,3.65
24,4,3.52
24,8,3.51
24,16,3.34
24,32,3.56
24,64,4.53
24,128,4.35
24,256,5.98
24,512,6.19
24,1024,6.78
24,2048,7.42
24,4096,10.02
24,8192,12.79
24,16384,22.69
24,32768,41.53
24,65536,76.00
24,131072,153.58
24,262144,314.84
24,524288,572.40
24,1048576,1081.51
26,2,3.54
26,4,3.39
26,8,3.68
26,16,3.65
26,32,3.46
26,64,4.54
26,128,4.35
26,256,5.83
26,512,6.07
26,1024,6.48
26,2048,7.18
26,4096,10.19
26,8192,12.92
26,16384,22.80
26,32768,47.61
26,65536,86.88
26,131072,167.34
26,262144,292.93
26,524288,602.08
26,1048576,1146.07
28,2,3.49
28,4,3.40
28,8,3.37
28,16,3.40
28,32,3.54
28,64,4.17
28,128,4.40
28,256,5.96
28,512,6.07
28,1024,6.91
28,2048,7.35
28,4096,10.99
28,8192,13.44
28,16384,23.07
28,32768,44.75
28,65536,85.21
28,131072,155.90
28,262144,334.54
28,524288,597.00
28,1048576,1199.68
30,2,3.48
30,4,3.54
30,8,3.57
30,16,3.61
30,32,3.39
30,64,4.39
30,128,4.24
30,256,6.39
30,512,6.21
30,1024,6.78
30,2048,7.47
30,4096,11.20
30,8192,14.03
30,16384,23.42
30,32768,44.07
30,65536,84.60
30,131072,190.83
30,262144,304.96
30,524288,611.38
30,1048576,1148.79
32,2,3.52
32,4,3.47
32,8,3.41
32,16,3.48
32,32,3.53
32,64,5.66
32,128,5.12
32,256,6.36
32,512,6.43
32,1024,7.01
32,2048,7.63
32,4096,10.72
32,8192,14.18
32,16384,23.88
32,32768,43.57
32,65536,78.44
32,131072,156.21
32,262144,310.45
32,524288,624.24
32,1048576,1205.62
34,2,4.45
34,4,4.57
34,8,4.57
34,16,4.66
34,32,4.97
34,64,6.31
34,128,6.29
34,256,7.35
34,512,7.60
34,1024,8.26
34,2048,8.65
34,4096,12.42
34,8192,15.41
34,16384,25.55
34,32768,45.58
34,65536,85.74
34,131072,173.15
34,262144,336.39
34,524288,676.50
34,1048576,1250.89
