Processes,Size,Latency
2,2,0.35
2,4,0.35
2,8,0.35
2,16,0.35
2,32,0.55
2,64,0.49
2,128,0.74
2,256,0.80
2,512,0.87
2,1024,0.92
2,2048,1.28
2,4096,1.93
2,8192,3.59
2,16384,6.21
2,32768,10.90
2,65536,21.68
2,131072,40.14
2,262144,26.99
2,524288,67.34
2,1048576,172.70
4,2,0.44
4,4,0.44
4,8,0.43
4,16,0.45
4,32,0.51
4,64,0.49
4,128,0.73
4,256,0.76
4,512,0.84
4,1024,0.99
4,2048,1.40
4,4096,2.16
4,8192,3.55
4,16384,6.17
4,32768,11.74
4,65536,22.59
4,131072,42.36
4,262144,64.93
4,524288,147.58
4,1048576,334.62
6,2,0.54
6,4,0.60
6,8,0.61
6,16,0.57
6,32,0.62
6,64,0.60
6,128,0.81
6,256,0.89
6,512,0.91
6,1024,1.02
6,2048,1.28
6,4096,2.16
6,8192,3.42
6,16384,6.32
6,32768,12.09
6,65536,22.93
6,131072,44.31
6,262144,108.63
6,524288,223.48
6,1048576,542.60
8,2,0.61
8,4,0.63
8,8,0.64
8,16,0.61
8,32,0.68
8,64,0.59
8,128,0.91
8,256,0.93
8,512,0.95
8,1024,1.09
8,2048,1.39
8,4096,2.33
8,8192,3.55
8,16384,6.62
8,32768,12.42
8,65536,23.61
8,131072,48.79
8,262144,136.90
8,524288,296.34
8,1048576,795.36
10,2,0.54
10,4,0.48
10,8,0.56
10,16,0.50
10,32,0.55
10,64,0.62
10,128,0.79
10,256,0.85
10,512,0.91
10,1024,1.03
10,2048,1.29
10,4096,2.15
10,8192,3.48
10,16384,6.71
10,32768,12.92
10,65536,25.46
10,131072,56.24
10,262144,181.51
10,524288,360.30
10,1048576,1188.90
12,2,0.65
12,4,0.73
12,8,0.67
12,16,0.69
12,32,0.77
12,64,0.74
12,128,0.98
12,256,1.03
12,512,1.08
12,1024,1.13
12,2048,1.46
12,4096,2.38
12,8192,3.82
12,16384,7.25
12,32768,14.46
12,65536,27.99
12,131072,63.91
12,262144,202.66
12,524288,458.30
12,1048576,1554.07
14,2,0.91
14,4,0.93
14,8,0.89
14,16,0.89
14,32,0.96
14,64,0.93
14,128,1.24
14,256,1.26
14,512,1.29
14,1024,1.44
14,2048,1.76
14,4096,2.76
14,8192,3.81
14,16384,7.57
14,32768,15.06
14,65536,31.59
14,131072,69.38
14,262144,232.15
14,524288,584.69
14,1048576,1968.16
16,2,1.13
16,4,1.19
16,8,1.16
16,16,1.30
16,32,1.23
16,64,1.16
16,128,1.63
16,256,1.47
16,512,1.54
16,1024,1.64
16,2048,2.00
16,4096,2.86
16,8192,4.16
16,16384,8.11
16,32768,15.46
16,65536,34.16
16,131072,77.13
16,262144,265.62
16,524288,754.42
16,1048576,2337.52
18,2,1.09
18,4,1.11
18,8,1.12
18,16,1.15
18,32,1.17
18,64,1.14
18,128,1.45
18,256,1.43
18,512,1.51
18,1024,1.57
18,2048,1.85
18,4096,2.96
18,8192,4.47
18,16384,8.39
18,32768,17.56
18,65536,40.54
18,131072,86.26
18,262144,305.72
18,524288,884.00
18,1048576,2762.27
20,2,1.30
20,4,1.31
20,8,1.36
20,16,1.32
20,32,1.28
20,64,1.24
20,128,1.56
20,256,1.60
20,512,1.58
20,1024,1.74
20,2048,1.97
20,4096,3.05
20,8192,4.47
20,16384,9.22
20,32768,18.45
20,65536,42.89
20,131072,92.56
20,262144,372.47
20,524288,1060.96
20,1048576,3003.27
22,2,1.44
22,4,1.40
22,8,1.56
22,16,1.41
22,32,1.36
22,64,1.52
22,128,1.78
22,256,1.72
22,512,1.77
22,1024,1.91
22,2048,2.19
22,4096,3.34
22,8192,4.77
22,16384,9.14
22,32768,19.61
22,65536,45.40
22,131072,100.67
22,262144,427.83
22,524288,1249.28
22,1048576,3373.48
24,2,1.58
24,4,1.66
24,8,1.78
24,16,1.53
24,32,1.61
24,64,1.57
24,128,1.90
24,256,2.00
24,512,1.86
24,1024,2.05
24,2048,2.40
24,4096,3.35
24,8192,5.11
24,16384,9.68
24,32768,21.02
24,65536,49.47
24,131072,104.48
24,262144,442.21
24,524288,1477.46
24,1048576,3761.31
26,2,1.29
26,4,1.32
26,8,1.29
26,16,1.30
26,32,1.33
26,64,1.35
26,128,1.57
26,256,1.66
26,512,1.75
26,1024,1.72
26,2048,2.06
26,4096,3.02
26,8192,4.60
26,16384,9.56
26,32768,19.87
26,65536,48.38
26,131072,108.98
26,262144,480.25
26,524288,1544.51
26,1048576,4051.25
28,2,1.30
28,4,1.16
28,8,1.13
28,16,1.15
28,32,1.23
28,64,1.27
28,128,1.54
28,256,1.44
28,512,1.55
28,1024,1.56
28,2048,1.96
28,4096,2.71
28,8192,4.38
28,16384,8.51
28,32768,18.74
28,65536,43.16
28,131072,99.63
28,262144,536.34
28,524288,1632.58
28,1048576,4279.49
30,2,0.98
30,4,0.99
30,8,0.99
30,16,0.98
30,32,0.98
30,64,1.08
30,128,1.17
30,256,1.19
30,512,1.21
30,1024,1.45
30,2048,1.55
30,4096,2.47
30,8192,3.54
30,16384,7.49
30,32768,17.13
30,65536,40.47
30,131072,93.63
30,262144,572.35
30,524288,1693.88
30,1048576,4505.63
32,2,1.19
32,4,1.24
32,8,1.30
32,16,1.18
32,32,1.24
32,64,1.28
32,128,1.66
32,256,1.76
32,512,1.68
32,1024,1.87
32,2048,2.22
32,4096,2.80
32,8192,3.91
32,16384,7.93
32,32768,17.49
32,65536,39.34
32,131072,93.69
32,262144,611.80
32,524288,1822.49
32,1048576,4751.99
34,2,0.98
34,4,1.05
34,8,0.99
34,16,1.00
34,32,1.07
34,64,1.03
34,128,1.25
34,256,1.31
34,512,1.39
34,1024,1.54
34,2048,1.79
34,4096,2.56
34,8192,3.60
34,16384,7.32
34,32768,16.43
34,65536,37.94
