Processes,Size,Latency
2,2,0.30
2,4,0.30
2,8,0.30
2,16,0.30
2,32,0.31
2,64,0.29
2,128,0.36
2,256,0.37
2,512,0.40
2,1024,0.40
2,2048,0.46
2,4096,0.55
2,8192,0.73
2,16384,1.32
2,32768,2.06
2,65536,3.52
2,131072,6.32
2,262144,27.13
2,524288,50.49
2,1048576,95.99
4,2,0.64
4,4,0.63
4,8,0.63
4,16,0.63
4,32,0.65
4,64,0.63
4,128,0.78
4,256,0.81
4,512,0.86
4,1024,0.91
4,2048,1.04
4,4096,1.26
4,8192,1.63
4,16384,2.81
4,32768,4.06
4,65536,6.93
4,131072,12.44
4,262144,59.66
4,524288,110.62
4,1048576,216.28
6,2,1.54
6,4,1.54
6,8,1.55
6,16,1.53
6,32,2.11
6,64,1.85
6,128,1.89
6,256,1.88
6,512,2.04
6,1024,2.13
6,2048,2.57
6,4096,3.17
6,8192,4.54
6,16384,6.91
6,32768,10.66
6,65536,19.44
6,131072,34.78
6,262144,101.28
6,524288,200.06
6,1048576,390.57
8,2,2.29
8,4,2.30
8,8,2.36
8,16,2.35
8,32,2.68
8,64,2.69
8,128,2.78
8,256,2.83
8,512,3.08
8,1024,3.21
8,2048,4.03
8,4096,5.04
8,8192,7.41
8,16384,10.55
8,32768,17.17
8,65536,31.01
8,131072,60.34
8,262144,137.86
8,524288,273.70
8,1048576,515.79
10,2,3.68
10,4,3.68
10,8,3.73
10,16,3.70
10,32,4.28
10,64,4.01
10,128,4.75
10,256,4.70
10,512,5.10
10,1024,5.29
10,2048,6.47
10,4096,7.83
10,8192,11.11
10,16384,16.50
10,32768,25.80
10,65536,44.71
10,131072,85.15
10,262144,172.05
10,524288,322.10
10,1048576,657.00
12,2,5.21
12,4,4.55
12,8,4.42
12,16,4.41
12,32,4.97
12,64,4.85
12,128,5.60
12,256,5.64
12,512,6.11
12,1024,6.34
12,2048,8.00
12,4096,9.81
12,8192,14.14
12,16384,21.25
12,32768,32.11
12,65536,58.23
12,131072,107.99
12,262144,206.36
12,524288,381.32
12,1048576,820.77
14,2,5.55
14,4,5.49
14,8,5.28
14,16,5.49
14,32,5.67
14,64,5.63
14,128,6.34
14,256,6.48
14,512,7.09
14,1024,7.42
14,2048,9.23
14,4096,11.83
14,8192,16.76
14,16384,25.54
14,32768,40.29
14,65536,68.26
14,131072,128.63
14,262144,235.40
14,524288,434.74
14,1048576,1023.90
16,2,5.82
16,4,6.01
16,8,5.58
16,16,5.51
16,32,6.17
16,64,6.48
16,128,7.22
16,256,7.36
16,512,8.07
16,1024,8.32
16,2048,10.27
16,4096,13.01
16,8192,19.53
16,16384,29.74
16,32768,50.94
16,65536,78.93
16,131072,151.09
16,262144,269.77
16,524288,503.13
16,1048576,1247.58
18,2,6.96
18,4,6.99
18,8,7.00
18,16,6.91
18,32,7.47
18,64,7.40
18,128,9.04
18,256,9.11
18,512,10.12
18,1024,10.38
18,2048,13.17
18,4096,16.05
18,8192,23.54
18,16384,35.55
18,32768,59.41
18,65536,94.42
18,131072,173.63
18,262144,299.87
18,524288,559.85
18,1048576,1499.37
20,2,8.07
20,4,8.18
20,8,8.16
20,16,8.03
20,32,8.42
20,64,8.41
20,128,10.11
20,256,10.30
20,512,11.37
20,1024,12.06
20,2048,14.77
20,4096,18.62
20,8192,27.05
20,16384,39.75
20,32768,67.59
20,65536,107.71
20,131072,195.61
20,262144,339.60
20,524288,628.22
20,1048576,1714.34
22,2,8.87
22,4,8.84
22,8,8.79
22,16,8.80
22,32,9.54
22,64,9.19
22,128,11.29
22,256,11.42
22,512,12.66
22,1024,13.28
22,2048,16.46
22,4096,20.90
22,8192,30.19
22,16384,44.01
22,32768,73.37
22,65536,116.19
22,131072,216.10
22,262144,368.02
22,524288,721.48
22,1048576,1950.50
24,2,9.79
24,4,9.87
24,8,9.70
24,16,9.69
24,32,10.47
24,64,10.28
24,128,12.55
24,256,12.78
24,512,13.49
24,1024,14.51
