Processes,Size,Latency
2,2,0.18
2,4,0.19
2,8,0.18
2,16,0.19
2,32,0.22
2,64,0.24
2,128,0.30
2,256,0.31
2,512,0.35
2,1024,0.39
2,2048,0.52
2,4096,0.82
2,8192,1.32
2,16384,2.45
2,32768,4.29
2,65536,8.22
2,131072,17.55
2,262144,21.40
2,524288,51.97
2,1048576,128.13
4,2,0.38
4,4,0.40
4,8,0.37
4,16,0.39
4,32,0.41
4,64,0.44
4,128,0.53
4,256,0.56
4,512,0.65
4,1024,0.57
4,2048,0.70
4,4096,1.08
4,8192,2.89
4,16384,4.77
4,32768,6.52
4,65536,11.86
4,131072,21.70
4,262144,58.61
4,524288,127.16
4,1048576,250.92
6,2,0.40
6,4,0.40
6,8,0.41
6,16,0.42
6,32,0.43
6,64,0.45
6,128,0.56
6,256,0.62
6,512,0.68
6,1024,0.65
6,2048,0.77
6,4096,1.32
6,8192,2.97
6,16384,5.28
6,32768,7.44
6,65536,13.13
6,131072,24.80
6,262144,90.07
6,524288,189.64
6,1048576,479.19
8,2,0.49
8,4,0.50
8,8,0.51
8,16,0.50
8,32,0.54
8,64,0.56
8,128,0.68
8,256,0.80
8,512,0.91
8,1024,1.12
8,2048,1.57
8,4096,2.36
8,8192,3.90
8,16384,6.70
8,32768,11.77
8,65536,23.33
8,131072,51.29
8,262144,114.91
8,524288,241.12
8,1048576,737.14
10,2,0.43
10,4,0.44
10,8,0.46
10,16,0.46
10,32,0.50
10,64,0.55
10,128,0.67
10,256,0.71
10,512,0.83
10,1024,1.02
10,2048,1.46
10,4096,2.32
10,8192,3.78
10,16384,6.62
10,32768,11.81
10,65536,23.12
10,131072,60.05
10,262144,132.81
10,524288,292.54
10,1048576,978.76
12,2,0.46
12,4,0.44
12,8,0.46
12,16,0.49
12,32,0.52
12,64,0.54
12,128,0.72
12,256,0.75
12,512,1.10
12,1024,1.10
12,2048,1.57
12,4096,2.52
12,8192,4.19
12,16384,7.18
12,32768,13.13
12,65536,28.47
12,131072,63.30
12,262144,135.52
12,524288,348.59
12,1048576,1080.07
14,2,0.55
14,4,0.53
14,8,0.56
14,16,0.58
14,32,0.64
14,64,1.05
14,128,0.91
14,256,0.95
14,512,1.09
14,1024,1.36
14,2048,1.91
14,4096,2.95
14,8192,4.85
14,16384,8.30
14,32768,15.42
14,65536,31.35
14,131072,72.34
14,262144,153.51
14,524288,412.55
14,1048576,1159.93
16,2,0.68
16,4,0.70
16,8,0.74
16,16,0.76
16,32,0.88
16,64,1.17
16,128,1.06
16,256,1.19
16,512,1.32
16,1024,1.68
16,2048,2.38
16,4096,3.77
16,8192,6.15
16,16384,10.76
16,32768,20.89
16,65536,43.08
16,131072,104.97
16,262144,220.36
16,524288,492.60
16,1048576,1210.39
18,2,0.65
18,4,0.65
18,8,0.67
18,16,0.71
18,32,1.21
18,64,0.93
18,128,1.02
18,256,1.11
18,512,1.29
18,1024,1.59
18,2048,2.32
18,4096,3.73
18,8192,6.10
18,16384,10.78
18,32768,20.94
18,65536,40.31
18,131072,106.38
18,262144,238.41
18,524288,594.54
18,1048576,1447.34
20,2,0.68
20,4,0.67
20,8,0.69
20,16,0.70
20,32,0.84
20,64,0.94
20,128,1.07
20,256,1.16
20,512,1.29
20,1024,1.61
20,2048,2.35
20,4096,3.94
20,8192,6.38
20,16384,11.24
20,32768,21.41
20,65536,49.67
20,131072,116.91
20,262144,252.01
20,524288,606.27
20,1048576,1502.43
22,2,0.64
22,4,0.62
22,8,0.67
22,16,0.85
22,32,0.80
22,64,0.93
22,128,1.02
22,256,1.10
22,512,1.24
22,1024,1.58
22,2048,2.41
22,4096,3.85
22,8192,6.61
22,16384,11.56
22,32768,22.45
22,65536,47.44
22,131072,116.87
22,262144,247.03
22,524288,643.67
22,1048576,1528.87
24,2,0.68
24,4,0.70
24,8,0.70
24,16,1.15
24,32,0.85
24,64,0.99
24,128,1.11
24,256,1.13
24,512,1.38
24,1024,1.71
24,2048,2.55
24,4096,4.23
24,8192,6.99
24,16384,12.48
24,32768,24.25
24,65536,49.95
24,131072,121.10
24,262144,276.55
24,524288,648.11
24,1048576,1554.11
26,2,0.66
26,4,0.69
26,8,1.04
26,16,0.82
26,32,0.80
26,64,0.95
26,128,1.04
26,256,1.12
26,512,1.29
26,1024,1.73
26,2048,2.50
26,4096,4.12
26,8192,6.93
26,16384,12.47
26,32768,24.10
26,65536,55.09
26,131072,122.23
26,262144,259.79
26,524288,659.73
26,1048576,1536.53
28,2,0.73
28,4,0.74
28,8,0.90
28,16,0.82
28,32,0.87
