Processes,Size,Latency
2,2,0.20
2,4,0.21
2,8,0.21
2,16,0.19
2,32,0.23
2,64,0.23
2,128,0.32
2,256,0.34
2,512,0.36
2,1024,0.44
2,2048,0.57
2,4096,0.86
2,8192,1.36
2,16384,3.13
2,32768,5.25
2,65536,6.96
2,131072,9.88
2,262144,15.50
2,524288,29.07
2,1048576,62.62
4,2,0.32
4,4,0.33
4,8,0.32
4,16,0.32
4,32,0.37
4,64,0.37
4,128,0.52
4,256,0.55
4,512,0.62
4,1024,0.82
4,2048,1.15
4,4096,1.76
4,8192,2.99
4,16384,6.90
4,32768,11.31
4,65536,16.42
4,131072,26.59
4,262144,47.01
4,524288,92.22
4,1048576,172.74
6,2,0.44
6,4,0.44
6,8,0.44
6,16,0.45
6,32,0.56
6,64,0.55
6,128,0.76
6,256,0.82
6,512,0.85
6,1024,1.15
6,2048,1.57
6,4096,2.53
6,8192,3.68
6,16384,8.66
6,32768,11.95
6,65536,25.15
6,131072,45.79
6,262144,90.76
6,524288,181.93
6,1048576,329.82
8,2,0.67
8,4,0.69
8,8,0.66
8,16,0.68
8,32,0.81
8,64,0.80
8,128,1.09
8,256,1.16
8,512,1.24
8,1024,1.50
8,2048,2.27
8,4096,2.98
8,8192,4.58
8,16384,11.07
8,32768,17.96
8,65536,30.86
8,131072,56.19
8,262144,108.61
8,524288,214.11
8,1048576,353.63
10,2,0.88
10,4,0.85
10,8,0.84
10,16,0.78
10,32,1.03
10,64,0.97
10,128,1.29
10,256,1.31
10,512,1.41
10,1024,1.75
10,2048,2.19
10,4096,3.40
10,8192,4.95
10,16384,11.72
10,32768,18.39
10,65536,34.61
10,131072,65.93
10,262144,124.22
10,524288,252.72
10,1048576,480.89
12,2,0.84
12,4,0.83
12,8,0.84
12,16,0.81
12,32,1.02
12,64,0.95
12,128,1.35
12,256,1.40
12,512,1.48
12,1024,1.86
12,2048,2.37
12,4096,3.69
12,8192,5.49
12,16384,12.53
12,32768,21.13
12,65536,39.55
12,131072,68.66
12,262144,141.95
12,524288,281.18
12,1048576,504.62
14,2,0.74
14,4,0.72
14,8,0.73
14,16,0.77
14,32,0.97
14,64,1.08
14,128,1.39
14,256,1.38
14,512,1.50
14,1024,1.89
14,2048,2.54
14,4096,4.04
14,8192,6.13
14,16384,14.91
14,32768,24.36
14,65536,44.69
14,131072,90.87
14,262144,170.05
14,524288,339.93
14,1048576,554.31
16,2,1.11
16,4,1.07
16,8,1.09
16,16,1.12
16,32,1.40
16,64,1.38
16,128,1.96
16,256,1.99
16,512,2.16
16,1024,2.51
16,2048,3.22
16,4096,4.77
16,8192,7.29
16,16384,17.21
16,32768,30.30
16,65536,53.84
16,131072,103.28
16,262144,219.33
16,524288,373.17
16,1048576,670.93
18,2,2.15
18,4,2.24
18,8,2.23
18,16,2.64
18,32,2.47
18,64,2.47
18,128,2.98
18,256,3.00
18,512,3.12
18,1024,3.53
18,2048,4.40
18,4096,6.24
18,8192,8.92
18,16384,20.86
18,32768,36.46
18,65536,67.78
18,131072,127.78
18,262144,256.08
18,524288,498.19
18,1048576,909.19
20,2,2.19
20,4,2.03
20,8,2.14
20,16,2.36
20,32,2.35
20,64,2.36
20,128,2.97
20,256,3.02
20,512,3.12
20,1024,3.68
20,2048,4.47
20,4096,6.24
20,8192,9.13
20,16384,23.43
20,32768,40.64
20,65536,76.57
20,131072,152.30
20,262144,292.67
20,524288,573.70
20,1048576,995.21
22,2,1.90
22,4,1.93
22,8,1.95
22,16,2.25
22,32,2.21
22,64,2.15
22,128,2.85
22,256,2.90
22,512,3.07
22,1024,3.74
22,2048,4.55
22,4096,6.60
22,8192,9.63
22,16384,22.86
22,32768,41.69
22,65536,82.47
22,131072,151.97
22,262144,294.67
22,524288,570.57
22,1048576,1010.90
24,2,1.93
24,4,1.86
24,8,1.93
24,16,1.94
24,32,2.13
24,64,2.12
24,128,3.04
24,256,3.08
24,512,3.30
24,1024,3.92
24,2048,4.86
24,4096,6.94
24,8192,10.28
24,16384,24.42
24,32768,41.66
24,65536,78.83
24,131072,156.88
24,262144,304.79
24,524288,573.83
24,1048576,1025.19
26,2,1.48
26,4,1.60
26,8,1.90
26,16,1.54
26,32,1.81
26,64,1.83
26,128,2.63
26,256,2.68
26,512,2.91
26,1024,3.64
26,2048,4.57
26,4096,6.73
26,8192,10.48
26,16384,23.93
26,32768,42.08
26,65536,79.41
26,131072,153.51
26,262144,306.88
26,524288,591.06
26,1048576,1026.62
28,2,1.46
28,4,1.46
28,8,1.64
28,16,1.49
28,32,1.82
28,64,1.84
28,128,2.52
28,256,2.62
28,512,2.78
28,1024,3.46
28,2048,4.44
28,4096,6.73
28,8192,10.27
28,16384,24.78
28,32768,42.90
28,65536,80.35
28,131072,157.72
28,262144,311.20
28,524288,616.22
28,1048576,952.53
30,2,1.60
30,4,1.56
30,8,1.51
30,16,1.51
30,32,1.78
30,64,1.94
30,128,2.67
30,256,2.77
30,512,2.99
30,1024,3.66
30,2048,4.74
30,4096,7.01
30,8192,10.74
30,16384,24.63
30,32768,43.76
30,65536,84.20
30,131072,151.98
30,262144,314.36
30,524288,590.67
30,1048576,1038.25
32,2,2.14
32,4,2.13
32,8,2.50
32,16,2.11
32,32,2.39
32,64,2.53
32,128,3.32
32,256,3.51
32,512,3.77
32,1024,4.52
32,2048,5.80
32,4096,8.00
32,8192,11.87
32,16384,27.93
32,32768,46.80
32,65536,86.00
32,131072,167.93
32,262144,329.58
32,524288,659.04
32,1048576,1137.02
34,2,4.04
34,4,4.39
34,8,3.98
34,16,3.96
34,32,4.34
34,64,4.31
34,128,5.09
34,256,5.35
34,512,5.64
34,1024,6.38
34,2048,7.73
34,4096,10.28
34,8192,14.33
34,16384,29.43
34,32768,48.51
34,65536,85.79
34,131072,165.99
34,262144,316.88
34,524288,634.58
34,1048576,1093.15
36,2,3.65
36,4,3.89
36,8,3.58
36,16,3.67
36,32,3.99
36,64,3.99
36,128,4.93
36,256,5.13
36,512,5.49
36,1024,6.23
36,2048,7.53
36,4096,10.13
36,8192,14.47
36,16384,28.61
36,32768,47.97
36,65536,86.99
36,131072,164.15
36,262144,308.90
36,524288,613.21
36,1048576,1092.10
38,2,3.44
38,4,3.88
38,8,3.44
38,16,3.45
38,32,3.80
38,64,3.68
38,128,4.54
38,256,4.83
38,512,5.13
38,1024,5.85
38,2048,7.15
38,4096,9.77
38,8192,14.02
38,16384,28.83
38,32768,48.34
38,65536,85.47
38,131072,162.07
38,262144,315.43
38,524288,614.51
38,1048576,1103.26
40,2,3.27
40,4,3.44
40,8,3.28
40,16,3.32
40,32,3.64
40,64,3.52
40,128,4.50
40,256,4.74
40,512,5.03
40,1024,5.77
40,2048,7.04
40,4096,9.69
40,8192,14.26
40,16384,29.72
40,32768,48.38
40,65536,86.81
40,131072,168.85
40,262144,325.19
40,524288,641.33
40,1048576,1186.60
42,2,3.07
42,4,3.33
42,8,3.10
42,16,3.08
42,32,3.42
42,64,3.44
42,128,4.28
42,256,4.51
42,512,4.86
42,1024,5.49
42,2048,6.90
42,4096,9.83
42,8192,14.64
42,16384,29.38
42,32768,48.47
42,65536,89.02
42,131072,174.65
42,262144,340.26
42,524288,672.99
42,1048576,1216.51
44,2,3.03
44,4,3.78
44,8,3.46
44,16,2.98
44,32,3.33
44,64,3.35
44,128,4.24
44,256,4.54
44,512,4.83
44,1024,5.59
44,2048,6.95
44,4096,10.09
44,8192,15.77
44,16384,29.43
44,32768,51.06
