Processes,Size,Latency
2,2,0.52
2,4,0.54
2,8,0.53
2,16,0.52
2,32,0.52
2,64,0.70
2,128,0.67
2,256,1.33
2,512,1.42
2,1024,1.52
2,2048,1.70
2,4096,2.41
2,8192,3.70
2,16384,6.08
2,32768,11.46
2,65536,21.62
2,131072,41.66
2,262144,83.86
2,524288,33.09
2,1048576,65.59
4,2,0.95
4,4,0.95
4,8,0.96
4,16,0.96
4,32,0.96
4,64,1.34
4,128,1.28
4,256,1.97
4,512,2.05
4,1024,2.33
4,2048,2.76
4,4096,4.05
4,8192,5.59
4,16384,8.57
4,32768,15.36
4,65536,28.80
4,131072,53.94
4,262144,109.92
4,524288,167.44
4,1048576,316.41
6,2,1.27
6,4,1.30
6,8,1.25
6,16,1.26
6,32,1.28
6,64,1.73
6,128,1.82
6,256,2.58
6,512,2.61
6,1024,2.92
6,2048,3.48
6,4096,4.94
6,8192,6.74
6,16384,10.28
6,32768,18.05
6,65536,33.72
6,131072,63.19
6,262144,125.78
6,524288,294.56
6,1048576,527.83
8,2,1.31
8,4,1.33
8,8,1.34
8,16,1.34
8,32,1.33
8,64,1.91
8,128,1.98
8,256,2.75
8,512,2.82
8,1024,3.21
8,2048,3.75
8,4096,5.23
8,8192,7.23
8,16384,11.18
8,32768,19.82
8,65536,36.11
8,131072,65.90
8,262144,132.11
8,524288,308.17
8,1048576,658.63
10,2,1.85
10,4,1.83
10,8,1.83
10,16,1.81
10,32,2.01
10,64,2.32
10,128,2.18
10,256,3.13
10,512,3.28
10,1024,3.65
10,2048,4.44
10,4096,6.07
10,8192,8.08
10,16384,12.46
10,32768,20.76
10,65536,38.66
10,131072,71.93
10,262144,141.34
10,524288,352.71
10,1048576,715.27
12,2,1.73
12,4,1.70
12,8,1.74
12,16,1.75
12,32,1.84
12,64,2.16
12,128,2.07
12,256,3.20
12,512,3.27
12,1024,3.71
12,2048,4.60
12,4096,6.15
12,8192,8.49
12,16384,13.07
12,32768,22.42
12,65536,41.46
12,131072,77.04
12,262144,148.99
12,524288,393.82
12,1048576,762.58
14,2,1.70
14,4,1.73
14,8,1.68
14,16,1.92
14,32,1.68
14,64,2.17
14,128,2.09
14,256,3.18
14,512,3.32
14,1024,3.70
14,2048,4.70
14,4096,6.36
14,8192,8.73
14,16384,13.48
14,32768,23.33
14,65536,43.39
14,131072,80.91
14,262144,159.28
14,524288,420.57
14,1048576,765.78
16,2,1.64
16,4,1.63
16,8,1.67
16,16,1.63
16,32,1.66
16,64,2.27
16,128,2.21
16,256,3.30
16,512,3.43
16,1024,3.82
16,2048,4.62
16,4096,6.58
16,8192,9.05
16,16384,14.45
16,32768,24.84
16,65536,43.57
16,131072,82.81
16,262144,162.17
16,524288,425.62
16,1048576,828.37
18,2,2.16
18,4,2.21
18,8,2.86
18,16,2.13
18,32,2.19
18,64,2.75
18,128,2.67
18,256,3.72
18,512,3.98
18,1024,4.27
18,2048,5.27
18,4096,7.46
18,8192,9.97
18,16384,15.38
18,32768,25.98
18,65536,46.23
18,131072,89.18
18,262144,174.05
18,524288,450.98
18,1048576,863.14
20,2,2.13
20,4,2.03
20,8,2.22
20,16,2.08
20,32,2.05
20,64,2.60
20,128,2.55
20,256,3.68
20,512,3.80
20,1024,4.26
20,2048,5.29
20,4096,7.40
20,8192,10.15
20,16384,15.60
20,32768,26.65
20,65536,48.01
20,131072,91.53
20,262144,176.89
20,524288,456.46
20,1048576,887.38
22,2,1.97
22,4,2.31
22,8,2.11
22,16,1.99
22,32,2.11
22,64,2.58
22,128,2.52
22,256,3.67
22,512,3.82
22,1024,4.33
22,2048,5.53
22,4096,7.45
22,8192,10.18
22,16384,16.13
22,32768,27.15
22,65536,49.37
22,131072,97.04
22,262144,185.17
22,524288,487.38
22,1048576,911.60
24,2,2.05
24,4,2.57
24,8,2.05
24,16,1.98
24,32,2.00
24,64,2.53
24,128,2.47
24,256,3.67
24,512,3.86
24,1024,4.36
24,2048,5.56
24,4096,7.34
24,8192,10.57
24,16384,16.68
24,32768,27.81
24,65536,51.60
24,131072,99.83
24,262144,188.23
24,524288,508.05
24,1048576,948.07
26,2,2.29
26,4,2.25
26,8,2.28
26,16,2.18
26,32,2.28
26,64,2.75
26,128,2.87
26,256,3.77
26,512,4.01
26,1024,4.37
26,2048,5.59
26,4096,7.92
26,8192,10.84
26,16384,17.53
26,32768,28.45
26,65536,52.52
26,131072,99.31
26,262144,190.39
26,524288,524.36
26,1048576,931.88
28,2,2.24
28,4,2.21
28,8,2.22
28,16,2.19
28,32,2.23
28,64,2.64
28,128,2.63
28,256,3.47
28,512,3.66
28,1024,4.11
28,2048,5.35
28,4096,7.50
28,8192,10.80
28,16384,17.21
28,32768,28.91
28,65536,53.25
28,131072,101.53
28,262144,194.09
28,524288,531.74
28,1048576,960.89
30,2,2.26
30,4,2.26
30,8,2.28
30,16,2.25
30,32,2.28
30,64,2.66
30,128,2.71
30,256,3.38
30,512,3.58
30,1024,4.04
30,2048,5.30
30,4096,7.58
30,8192,11.06
30,16384,18.58
30,32768,29.76
30,65536,56.09
30,131072,104.74
30,262144,199.69
30,524288,516.73
30,1048576,996.93
32,2,2.40
32,4,2.55
32,8,2.46
32,16,2.39
32,32,2.33
32,64,3.25
32,128,3.02
32,256,4.39
32,512,4.68
32,1024,5.20
32,2048,6.31
32,4096,8.79
32,8192,12.40
32,16384,19.28
32,32768,32.44
32,65536,58.86
32,131072,109.96
32,262144,207.26
32,524288,512.02
32,1048576,964.81
34,2,4.60
34,4,4.70
34,8,4.61
34,16,4.69
34,32,4.60
34,64,5.17
34,128,5.08
34,256,6.33
34,512,6.59
34,1024,7.10
34,2048,8.44
34,4096,10.93
34,8192,15.02
34,16384,23.71
34,32768,36.47
34,65536,64.95
34,131072,117.92
34,262144,222.44
34,524288,584.73
34,1048576,1080.57
36,2,4.20
36,4,4.21
36,8,4.25
36,16,4.23
36,32,4.20
36,64,4.75
36,128,4.78
36,256,5.92
36,512,6.28
36,1024,6.79
36,2048,8.19
36,4096,10.67
36,8192,14.96
36,16384,23.63
36,32768,37.81
36,65536,67.42
36,131072,123.20
36,262144,234.46
36,524288,611.74
36,1048576,1151.36
38,2,3.97
38,4,3.94
38,8,4.05
38,16,4.06
38,32,4.06
38,64,4.60
38,128,4.62
38,256,5.86
38,512,6.15
38,1024,6.73
38,2048,8.33
38,4096,11.02
38,8192,15.24
38,16384,24.37
38,32768,39.59
38,65536,70.83
38,131072,130.32
38,262144,246.33
38,524288,680.35
38,1048576,1235.85
40,2,3.80
40,4,3.83
40,8,3.84
40,16,3.85
40,32,3.85
40,64,4.52
40,128,4.52
40,256,5.73
40,512,6.08
40,1024,6.68
40,2048,8.33
40,4096,10.84
40,8192,15.69
40,16384,25.32
40,32768,40.91
40,65536,73.48
40,131072,137.61
40,262144,261.67
40,524288,690.20
40,1048576,1329.92
42,2,3.84
42,4,3.82
42,8,3.80
42,16,3.82
42,32,3.78
42,64,4.54
42,128,4.53
42,256,5.73
42,512,6.10
42,1024,6.76
42,2048,8.44
42,4096,10.87
42,8192,15.66
42,16384,25.95
42,32768,41.56
42,65536,74.62
42,131072,138.11
42,262144,263.43
42,524288,668.70
42,1048576,1288.27
44,2,3.66
44,4,3.71
44,8,3.65
44,16,3.64
44,32,3.64
44,64,4.40
44,128,4.29
44,256,5.59
44,512,6.05
44,1024,6.57
44,2048,8.31
44,4096,10.94
44,8192,15.80
44,16384,25.42
44,32768,42.75
44,65536,76.48
44,131072,140.83
44,262144,269.94
44,524288,677.38
44,1048576,1299.32
46,2,3.67
46,4,3.66
46,8,3.82
46,16,3.71
46,32,3.69
46,64,4.37
46,128,4.37
46,256,5.64
46,512,5.99
46,1024,6.62
46,2048,8.41
46,4096,11.01
46,8192,15.80
46,16384,26.36
46,32768,43.71
46,65536,78.69
46,131072,143.44
46,262144,276.25
46,524288,690.46
46,1048576,1337.76
48,2,3.66
48,4,3.64
48,8,3.66
48,16,3.59
48,32,3.64
48,64,4.45
48,128,4.38
48,256,5.71
48,512,6.04
48,1024,6.69
48,2048,8.53
48,4096,11.25
48,8192,16.31
48,16384,27.82
48,32768,44.74
48,65536,81.07
48,131072,150.46
48,262144,285.25
48,524288,732.72
48,1048576,1457.21
