Processes,Size,Latency
2,2,0.34
2,4,0.35
2,8,0.36
2,16,0.35
2,32,0.56
2,64,0.52
2,128,0.74
2,256,0.74
2,512,0.85
2,1024,0.92
2,2048,1.27
2,4096,1.94
2,8192,3.58
2,16384,6.21
2,32768,11.34
2,65536,21.39
2,131072,43.39
2,262144,21.65
2,524288,48.78
2,1048576,123.43
4,2,0.72
4,4,0.70
4,8,0.71
4,16,0.73
4,32,0.79
4,64,0.84
4,128,1.13
4,256,1.17
4,512,1.46
4,1024,0.98
4,2048,1.34
4,4096,2.01
4,8192,4.84
4,16384,8.33
4,32768,11.96
4,65536,22.83
4,131072,42.36
4,262144,55.49
4,524288,132.09
4,1048576,253.02
6,2,0.74
6,4,0.72
6,8,0.70
6,16,0.75
6,32,0.75
6,64,0.79
6,128,1.11
6,256,1.20
6,512,1.32
6,1024,1.01
6,2048,1.24
6,4096,2.13
6,8192,5.13
6,16384,8.96
6,32768,12.09
6,65536,23.20
6,131072,45.00
6,262144,103.07
6,524288,190.98
6,1048576,441.81
8,2,0.77
8,4,0.77
8,8,0.77
8,16,0.84
8,32,0.89
8,64,0.95
8,128,1.28
8,256,1.40
8,512,1.58
8,1024,1.87
8,2048,2.53
8,4096,3.85
8,8192,6.03
8,16384,10.31
8,32768,18.85
8,65536,34.96
8,131072,74.74
8,262144,116.59
8,524288,244.53
8,1048576,749.88
10,2,0.73
10,4,0.72
10,8,0.71
10,16,0.75
10,32,0.80
10,64,0.87
10,128,1.20
10,256,1.24
10,512,1.45
10,1024,1.77
10,2048,2.46
10,4096,3.68
10,8192,6.08
10,16384,10.53
10,32768,18.67
10,65536,35.09
10,131072,84.80
10,262144,132.24
10,524288,291.15
10,1048576,997.71
12,2,0.77
12,4,0.79
12,8,0.81
12,16,0.77
12,32,0.82
12,64,0.96
12,128,1.27
12,256,1.33
12,512,1.52
12,1024,1.84
12,2048,2.55
12,4096,4.00
12,8192,6.60
12,16384,11.52
12,32768,20.59
12,65536,42.17
12,131072,89.58
12,262144,136.61
12,524288,349.44
12,1048576,1119.97
14,2,0.74
14,4,0.70
14,8,0.72
14,16,0.75
14,32,1.15
14,64,0.87
14,128,1.23
14,256,1.30
14,512,1.47
14,1024,1.85
14,2048,2.61
14,4096,4.26
14,8192,6.96
14,16384,11.97
14,32768,21.84
14,65536,43.24
14,131072,93.41
14,262144,149.67
14,524288,402.90
14,1048576,1218.13
16,2,0.81
16,4,0.82
16,8,0.84
16,16,0.85
16,32,1.06
16,64,1.01
16,128,1.42
16,256,1.51
16,512,1.80
16,1024,2.21
16,2048,2.95
16,4096,4.64
16,8192,7.77
16,16384,13.58
16,32768,25.41
16,65536,48.07
16,131072,103.39
16,262144,160.65
16,524288,497.31
16,1048576,1284.58
18,2,0.77
18,4,0.79
18,8,0.82
18,16,0.83
18,32,0.99
18,64,1.02
18,128,1.38
18,256,1.43
18,512,1.72
18,1024,2.10
18,2048,2.87
18,4096,4.66
18,8192,7.73
18,16384,13.49
18,32768,25.89
18,65536,48.54
18,131072,116.59
18,262144,186.93
18,524288,577.81
18,1048576,1469.00
20,2,0.81
20,4,0.82
20,8,0.83
20,16,0.83
20,32,1.31
20,64,1.00
20,128,1.33
20,256,1.42
20,512,1.70
20,1024,2.12
20,2048,2.93
20,4096,4.83
20,8192,8.03
20,16384,14.17
20,32768,27.24
20,65536,55.98
20,131072,118.48
20,262144,190.98
20,524288,620.16
20,1048576,1509.88
22,2,0.78
22,4,0.78
22,8,0.78
22,16,0.80
22,32,1.11
22,64,1.00
22,128,1.32
22,256,1.38
22,512,1.65
22,1024,2.07
22,2048,2.95
22,4096,4.86
22,8192,8.25
22,16384,14.73
22,32768,28.32
22,65536,57.48
22,131072,123.15
22,262144,197.91
22,524288,639.99
22,1048576,1575.46
24,2,0.82
24,4,0.81
24,8,0.82
24,16,1.10
24,32,1.13
24,64,1.04
24,128,1.35
24,256,1.46
24,512,1.73
24,1024,2.23
24,2048,3.09
24,4096,5.26
24,8192,9.06
24,16384,15.73
24,32768,31.34
24,65536,60.42
24,131072,129.76
24,262144,231.24
24,524288,737.65
24,1048576,1717.25
26,2,0.85
26,4,0.91
26,8,0.98
26,16,0.87
26,32,0.98
26,64,1.08
26,128,1.38
26,256,1.45
26,512,1.71
26,1024,2.17
26,2048,2.96
26,4096,4.95
26,8192,8.47
26,16384,15.34
26,32768,30.23
26,65536,59.43
26,131072,132.91
26,262144,245.71
26,524288,749.85
26,1048576,1753.48
28,2,1.00
28,4,1.13
28,8,0.95
28,16,0.99
28,32,1.13
28,64,1.18
28,128,1.53
28,256,1.59
28,512,1.86
28,1024,2.31
28,2048,3.18
28,4096,5.04
28,8192,8.43
28,16384,15.16
28,32768,30.01
28,65536,63.04
28,131072,130.71
28,262144,239.27
28,524288,747.40
28,1048576,1678.30
30,2,0.91
30,4,1.10
30,8,0.96
30,16,0.97
30,32,1.09
30,64,1.20
30,128,1.52
30,256,1.61
30,512,1.86
30,1024,2.32
30,2048,3.21
30,4096,5.15
30,8192,8.41
30,16384,15.14
30,32768,29.93
30,65536,60.80
30,131072,130.14
30,262144,249.20
30,524288,735.93
30,1048576,1673.84
32,2,1.04
32,4,1.06
32,8,1.29
32,16,1.08
32,32,1.29
32,64,1.37
32,128,1.71
32,256,1.82
32,512,2.12
32,1024,2.61
32,2048,3.56
32,4096,5.64
32,8192,9.26
32,16384,16.20
32,32768,31.36
32,65536,61.37
32,131072,130.68
32,262144,253.36
32,524288,714.58
32,1048576,3458.28
34,2,0.95
34,4,1.30
34,8,0.98
34,16,1.01
34,32,1.27
34,64,1.25
34,128,1.62
34,256,1.72
34,512,2.00
34,1024,2.46
34,2048,3.41
34,4096,5.44
34,8192,8.94
34,16384,16.08
34,32768,30.85
34,65536,59.90
34,131072,143.29
34,262144,299.37
34,524288,853.61
34,1048576,3759.33
36,2,0.99
36,4,1.27
36,8,0.98
36,16,1.03
36,32,1.30
36,64,1.29
36,128,1.63
36,256,1.73
36,512,1.99
36,1024,2.44
36,2048,3.41
36,4096,5.36
36,8192,8.86
36,16384,15.89
36,32768,30.75
36,65536,66.75
36,131072,143.06
36,262144,294.69
36,524288,835.53
36,1048576,3723.38
38,2,0.99
38,4,1.26
38,8,0.98
38,16,1.00
38,32,1.30
38,64,1.26
38,128,1.64
38,256,1.73
38,512,1.98
38,1024,2.38
38,2048,3.30
38,4096,5.26
38,8192,8.69
38,16384,16.23
38,32768,30.38
38,65536,
38,131072,
38,262144,
38,524288,
38,1048576,
40,2,
40,4,
40,8,
40,16,
40,32,
40,64,
40,128,
40,256,
40,512,
40,1024,
40,2048,
40,4096,
40,8192,
40,16384,
40,32768,
40,65536,
40,131072,
40,262144,
40,524288,
40,1048576,
42,2,
42,4,
42,8,
42,16,
42,32,
42,64,
42,128,
42,256,
42,512,
42,1024,
42,2048,
42,4096,
42,8192,
42,16384,
42,32768,
42,65536,
42,131072,
42,262144,
42,524288,
42,1048576,
44,2,
44,4,
44,8,
44,16,
44,32,
44,64,
44,128,
44,256,
44,512,
44,1024,
44,2048,
44,4096,
44,8192,
44,16384,
44,32768,
44,65536,
44,131072,
44,262144,
44,524288,
44,1048576,
46,2,
46,4,
46,8,
46,16,
46,32,
46,64,
46,128,
46,256,
46,512,
46,1024,
46,2048,
46,4096,
46,8192,
46,16384,
46,32768,
46,65536,
46,131072,
46,262144,
46,524288,
46,1048576,
48,2,
48,4,
48,8,
48,16,
48,32,
48,64,
48,128,
48,256,
48,512,
48,1024,
48,2048,
48,4096,
48,8192,
48,16384,
48,32768,
48,65536,
48,131072,
48,262144,
48,524288,
48,1048576,
