Processes,Size,Latency
2,2,total
2,4,total
2,8,total
2,16,total
2,32,total
2,64,total
2,128,total
2,256,total
2,512,total
2,1024,total
2,2048,total
2,4096,total
2,8192,total
2,16384,total
2,32768,total
2,65536,total
2,131072,total
2,262144,total
2,524288,total
2,1048576,total
4,2,total
4,4,total
4,8,total
4,16,total
4,32,total
4,64,total
4,128,total
4,256,total
4,512,total
4,1024,total
4,2048,total
4,4096,total
4,8192,total
4,16384,total
4,32768,total
4,65536,total
4,131072,total
4,262144,total
4,524288,total
4,1048576,total
6,2,total
6,4,total
6,8,total
6,16,total
6,32,total
6,64,total
6,128,total
6,256,total
6,512,total
6,1024,total
6,2048,total
6,4096,total
6,8192,total
6,16384,total
6,32768,total
6,65536,total
6,131072,total
6,262144,total
6,524288,total
6,1048576,total
8,2,total
8,4,total
8,8,total
8,16,total
8,32,total
8,64,total
8,128,total
8,256,total
8,512,total
8,1024,total
8,2048,total
8,4096,total
8,8192,total
8,16384,total
8,32768,total
8,65536,total
8,131072,total
8,262144,total
8,524288,total
8,1048576,total
10,2,total
10,4,total
10,8,total
10,16,total
10,32,total
10,64,total
10,128,total
10,256,total
10,512,total
10,1024,total
10,2048,total
10,4096,total
10,8192,total
10,16384,total
10,32768,total
10,65536,total
10,131072,total
10,262144,total
10,524288,total
10,1048576,total
12,2,total
12,4,total
12,8,total
12,16,total
12,32,total
12,64,total
12,128,total
12,256,total
12,512,total
12,1024,total
12,2048,total
12,4096,total
12,8192,total
12,16384,total
12,32768,total
12,65536,total
12,131072,total
12,262144,total
12,524288,total
12,1048576,total
14,2,total
14,4,total
14,8,total
14,16,total
14,32,total
14,64,total
14,128,total
14,256,total
14,512,total
14,1024,total
14,2048,total
14,4096,total
14,8192,total
14,16384,total
14,32768,total
14,65536,total
14,131072,total
14,262144,total
14,524288,total
14,1048576,total
16,2,total
16,4,total
16,8,total
16,16,total
16,32,total
16,64,total
16,128,total
16,256,total
16,512,total
16,1024,total
16,2048,total
16,4096,total
16,8192,total
16,16384,total
16,32768,total
