Processes,Size,Latency
2,2,0.20
2,4,0.19
2,8,0.18
2,16,0.18
2,32,0.23
2,64,0.22
2,128,0.30
2,256,0.33
2,512,0.36
2,1024,0.41
2,2048,0.54
2,4096,0.83
2,8192,1.33
2,16384,3.06
2,32768,5.20
2,65536,6.96
2,131072,10.08
2,262144,15.62
2,524288,28.99
2,1048576,62.59
4,2,0.19
4,4,0.19
4,8,0.19
4,16,0.21
4,32,0.25
4,64,0.24
4,128,0.43
4,256,0.48
4,512,0.51
4,1024,0.73
4,2048,1.03
4,4096,1.66
4,8192,2.51
4,16384,5.37
4,32768,8.28
4,65536,14.75
4,131072,26.75
4,262144,52.68
4,524288,107.38
4,1048576,195.65
6,2,0.41
6,4,0.31
6,8,0.30
6,16,0.29
6,32,0.42
6,64,0.39
6,128,0.67
6,256,0.72
6,512,0.78
6,1024,1.06
6,2048,1.50
6,4096,2.37
6,8192,3.62
6,16384,6.60
6,32768,11.31
6,65536,16.02
6,131072,41.93
6,262144,88.16
6,524288,174.89
6,1048576,340.02
8,2,0.67
8,4,0.64
8,8,0.68
8,16,0.67
8,32,0.86
8,64,0.82
8,128,1.32
8,256,1.36
8,512,1.31
8,1024,1.74
8,2048,2.28
8,4096,3.41
8,8192,5.00
8,16384,8.09
8,32768,14.66
8,65536,27.81
8,131072,56.57
8,262144,113.57
8,524288,206.36
8,1048576,440.32
10,2,0.84
10,4,0.84
10,8,0.86
10,16,0.86
10,32,1.05
10,64,1.03
10,128,1.49
10,256,1.55
10,512,1.59
10,1024,2.20
10,2048,2.74
10,4096,4.10
10,8192,6.01
10,16384,9.79
10,32768,17.61
10,65536,34.91
10,131072,69.88
10,262144,137.96
10,524288,273.28
10,1048576,467.22
12,2,0.89
12,4,0.88
12,8,0.87
12,16,0.89
12,32,1.43
12,64,1.04
12,128,1.75
12,256,1.97
12,512,1.74
12,1024,2.50
12,2048,3.24
12,4096,4.72
12,8192,6.87
12,16384,11.15
12,32768,20.81
12,65536,34.67
12,131072,84.08
12,262144,168.13
12,524288,336.93
12,1048576,587.41
14,2,0.93
14,4,0.95
14,8,0.99
14,16,0.92
14,32,1.20
14,64,1.09
14,128,2.09
14,256,2.13
14,512,2.15
14,1024,3.10
14,2048,3.92
14,4096,5.72
14,8192,8.44
14,16384,15.47
14,32768,28.43
14,65536,59.28
14,131072,119.16
14,262144,242.44
14,524288,480.69
14,1048576,741.32
16,2,1.55
16,4,1.53
16,8,1.51
16,16,1.59
16,32,1.81
16,64,1.68
16,128,3.30
16,256,3.44
16,512,3.58
16,1024,4.56
16,2048,5.42
16,4096,7.68
16,8192,11.15
16,16384,16.64
16,32768,33.91
16,65536,71.26
16,131072,147.82
16,262144,294.13
16,524288,584.98
16,1048576,1034.39
18,2,2.23
18,4,2.25
18,8,2.26
18,16,2.18
18,32,2.66
18,64,2.81
18,128,3.92
18,256,3.95
18,512,4.07
18,1024,5.54
18,2048,6.66
18,4096,9.16
18,8192,13.28
18,16384,20.40
18,32768,39.29
18,65536,80.17
18,131072,167.33
18,262144,336.36
18,524288,684.16
18,1048576,1161.37
20,2,2.39
20,4,2.29
20,8,2.48
20,16,2.44
20,32,2.81
20,64,2.68
20,128,4.59
20,256,4.71
20,512,4.85
20,1024,6.58
20,2048,7.71
20,4096,10.81
20,8192,15.62
20,16384,21.08
20,32768,43.13
20,65536,91.24
20,131072,191.05
